,SI_P2HT_OTH,SI_STUR_BIO_CHP,SI_COMC_GAS_CHP,SI_ICEN_GAS_CHP
2016-09-27 06:00:00,385.7591664840446,112.32030872740245,3.882136079787456,6.4702267996457605
2016-09-27 07:00:00,363.8659107244507,105.94571685865088,3.6618105360991775,6.103017560165297
2016-09-27 08:00:00,331.9017573154436,96.63881273027361,3.3401352423142923,5.566892070523821
2016-09-27 09:00:00,313.5114224773847,91.28415556052231,3.1550617856161387,5.258436309360232
2016-09-27 10:00:00,299.4997387912446,87.2044167645213,3.0140534376556407,5.023422396092735
2016-09-27 11:00:00,277.60648303165067,80.82982489576976,2.7937278939673633,4.656213156612273
2016-09-27 12:00:00,272.3521016493481,79.29992284726939,2.740849763482177,4.5680829391369615
2016-09-27 13:00:00,266.6598551518538,77.64252896139398,2.683565122123224,4.472608536872041
2016-09-27 14:00:00,283.736594644337,82.6147106190202,2.8554190462000815,4.759031743666803
2016-09-27 15:00:00,305.19198528873903,88.86181065039672,3.0713380790145934,5.118896798357657
2016-09-27 16:00:00,321.8308596660304,93.7065004706479,3.2387854922176844,5.397975820362808
2016-09-27 17:00:00,344.5998456560081,100.33607601414953,3.4679240576534935,5.77987342942249
2016-09-27 18:00:00,350.2920921535025,101.99346990002493,3.525208699012446,5.87534783168741
2016-09-27 19:00:00,320.51726432045473,93.32402495852281,3.225565959596388,5.37594326599398
2016-09-27 20:00:00,238.6364877795736,69.48305136939199,2.4015484262022286,4.002580710337049
2016-09-27 21:00:00,152.81492520196545,44.49465124388587,1.5378722949441792,2.563120491573632
2016-09-27 22:00:00,116.90998575623146,34.04032057913333,1.176538403295404,1.9608973388256734
2016-09-27 23:00:00,123.91582759930151,36.08018997713381,1.2470425772756526,2.0784042954594213
2016-09-28 00:00:00,125.66728806006901,36.590157326633935,1.2646686207707147,2.107781034617858
2016-09-28 01:00:00,149.7498693956223,43.60220838226065,1.5070267188278204,2.5117111980463673
2016-09-28 02:00:00,221.99761340228218,64.6383615491408,2.2341010129991377,3.723501688331896
2016-09-28 03:00:00,382.6941106777015,111.42786586577725,3.8512905036710974,6.418817506118496
2016-09-28 04:00:00,483.40308717183336,140.75098846203437,4.864788004637174,8.107980007728624
