,CZ_P2HT_OTH,CZ_STUR_BIO_CHP,CZ_COMC_GAS_CHP,CZ_GTUR_GAS_CHP
2016-11-15 13:00:00,6083.369318602298,3405.7275035696925,325.7724790789729,244.2593642674107
2016-11-15 14:00:00,6291.334048801463,3522.154957554103,336.9092656473638,252.60956135854545
2016-11-15 15:00:00,6645.782933433971,3720.590438252468,355.8904725749811,266.84138827736894
2016-11-15 16:00:00,7035.516322419039,3938.7796772104007,376.7612114139452,282.48995814738765
2016-11-15 17:00:00,7219.423436014186,4041.7386596541983,386.6096807700544,289.8741941354349
2016-11-15 18:00:00,7192.692750898614,4026.77369127574,385.17821720085254,288.8009040208932
2016-11-15 19:00:00,7031.239412800547,3936.3852822698473,376.53217724287293,282.318231729061
2016-11-15 20:00:00,6353.349238269594,3556.8736841921277,340.2302611279122,255.0995944242823
2016-11-15 21:00:00,4983.134319245279,2789.7694051123212,266.85343857062185,200.08274315287238
2016-11-15 22:00:00,3877.0185691628317,2170.519013611689,207.6194760770464,155.6699982131349
2016-11-15 23:00:00,3314.0703406288467,1855.3567795613433,177.472853309654,133.06650840088574
2016-11-16 00:00:00,3646.065449764274,2041.2216868218034,195.2516308391418,146.3967716234942
2016-11-16 01:00:00,3502.254363842487,1960.7101569456945,187.55035683683553,140.62247080725965
2016-11-16 02:00:00,3928.8760982870454,2199.551052265899,210.3965154012981,157.75218103534587
2016-11-16 03:00:00,5003.984253635426,2801.442080447519,267.9699801545993,200.91990944221493
2016-11-16 04:00:00,7072.404667878531,3959.431333572674,378.73663113944383,283.97109850545525
2016-11-16 05:00:00,7808.567735961435,4371.566562715435,418.15913783526474,313.529508259935
2016-11-16 06:00:00,7358.422998615171,4119.556495222185,394.05329132990437,295.455302731052
2016-11-16 07:00:00,6960.670404095432,3896.8777657507158,372.75311342017983,279.4847458266708
2016-11-16 08:00:00,6580.560061751972,3684.0759154090288,352.39770146612847,264.2225603978871
2016-11-16 09:00:00,6155.5421684143475,3446.1329181915316,329.637430715818,247.1572475766734
2016-11-16 10:00:00,5953.458188940609,3332.9977572503813,318.8155661326515,239.04317431073775
2016-11-16 11:00:00,5783.985645307871,3238.1198577309515,309.7400871039113,232.2385149845431
2016-11-16 12:00:00,5681.339814464067,3180.6543791576696,304.24326699817595,228.1170809447028
2016-11-16 13:00:00,5824.616286683544,3260.8666096662096,311.91591172909824,233.86991595864657
2016-11-16 14:00:00,5920.8467530996095,3314.7404958286616,317.06918057822514,237.73376037099683
2016-11-16 15:00:00,6292.937889908397,3523.0528556568106,336.9951534615159,252.67395876541795
2016-11-16 16:00:00,6667.702095228744,3732.861712322806,357.06427270172685,267.7214861712933
2016-11-16 17:00:00,6802.424748211235,3808.285152950238,364.2788490905044,273.13086834858365
2016-11-16 18:00:00,6844.12461699153,3831.6305036206345,366.51193225845947,274.8052009272688
2016-11-16 19:00:00,6759.121038324005,3784.0419041771347,361.95987810839733,271.392138363026
2016-11-16 20:00:00,6072.677044556069,3399.7415162183083,325.19989365129203,243.83004822159396
2016-11-16 21:00:00,4809.91947969636,2692.7964100199065,257.5775546421934,193.12782321064185
2016-11-16 22:00:00,3716.6344584693893,2080.7292033409353,199.03069466183487,149.23025752588444
2016-11-16 23:00:00,4036.333452451652,2259.7102251473043,216.1509989494898,162.0668072958037
2016-11-17 00:00:00,4182.817606884997,2341.71825186126,223.99541930871638,167.9484371234925
2016-11-17 01:00:00,4286.5326651334235,2399.78232916968,229.54949795721978,172.11280276791445
2016-11-17 02:00:00,4673.058371904622,2616.1757719221973,250.24846116787955,187.63257782418813
2016-11-17 03:00:00,5449.8520813631985,3051.0577530002147,291.84679248888733,218.8223885527713
2016-11-17 04:00:00,7401.192094800089,4143.50044462772,396.3436330406275,297.1725669143188
2016-11-17 05:00:00,8783.168515275258,4917.189309794048,470.35029956836667,352.66166583612704
2016-11-17 06:00:00,8504.100162668667,4760.9550399229365,455.4058199058986,341.4565170403112
2016-11-17 07:00:00,8309.500775027289,4652.010070127756,444.98476512210874,333.64296500644735
2016-11-17 08:00:00,7966.278778143321,4459.859876148342,426.60477289355606,319.8619199357313
2016-11-17 09:00:00,7597.929937250712,4253.642611893178,406.87920490995356,305.071982157346
2016-11-17 10:00:00,7263.79637330604,4066.580507162441,388.9859102949296,291.6558557255742
2016-11-17 11:00:00,7053.693188297629,3948.9558557077526,377.7346066410025,283.219795425276
2016-11-17 12:00:00,7031.774026502859,3936.6845816374166,376.5608065142569,282.3396975313518
2016-11-17 13:00:00,7083.096941924759,3965.417320924057,379.30921656712457,284.4004145512719
2016-11-17 14:00:00,7203.919638647154,4033.058977994692,385.77943189991726,289.25168586900065
2016-11-17 15:00:00,7494.749492704597,4195.877833952326,401.35375553283416,300.9290823152148
2016-11-17 16:00:00,7758.848661646467,4343.731721531501,415.49661559654913,311.53318864688737
2016-11-17 17:00:00,7823.002305923845,4379.647645639802,418.9321281626338,314.10908492178754
2016-11-17 18:00:00,7745.48331908868,4336.249237342271,414.78088381194823,310.99654358961646
2016-11-17 19:00:00,7438.080440259582,4164.1521009899925,398.3190527661261,298.6537072723864
2016-11-17 20:00:00,6763.932561644808,3786.735598485257,362.21754155085364,271.5853305836435
2016-11-17 21:00:00,5320.475565403821,2978.6273060484737,284.9185088139501,213.62766439838924
2016-11-17 22:00:00,4329.836375020654,2424.025577942784,231.8684689393269,173.8515327534721
2016-11-17 23:00:00,5040.337985392606,2821.794437442223,269.91677060871393,202.3795839979917
2016-11-18 00:00:00,5248.302715591772,2938.2218914266346,281.0535571771049,210.72978108912653
2016-11-18 01:00:00,5372.333094528034,3007.659344702684,287.6955481382018,215.7098472206002
