ID,Name,Fuel,Fuel (detailed),Technology,Country,Model_Node,Province,Pmin,Pmax,Heat_Rate,IC,Status,Year_Built,Year_End,Fuel info Source,comments
32,Sabiya Combined Cycle Power Plant,Gas,Gas,CC,Kuwait,KUW,Al Jahra ,0,2097,1593.693192,,Active,2011,2100,,
133,Qatalum Combined Cycle Power Plant,Gas,Gas,CC,Qatar ,QAT,Al Wakrah,0,1350,1593.693192,,Active,2011,2100,,
141,Ras Laffan C (Ras Girtas) Power Plant,Gas,Gas,CC,Qatar ,QAT,Al Khor,0,2730,1593.693192,,Active,2011,2100,,
245,Riyadh Combined Cycle Power Plant 15 (PP15),Gas,Gas,CC,Saudi Arabia,RIYADH,Riyadh,0,5400,1593.693192,,Announced,2022,2100,,
301,Fujairah F2 Power Plant Desalination,Gas,Gas,CC,United Arab Emirates,UAE,Fujairah,0,2100,1593.693192,,Active,2011,2100,,
325,Shuweihat S2 Greenfield IWPP,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1510,1593.693192,,Active,2011,2100,,
246,Riyadh PP10 Power Plant,Oil,Crude,GT,Saudi Arabia,RIYADH,Riyadh,0,2236.4,2855.739443,,Active,2011,2100,,
247,Riyadh PP10 Power Plant Extenstion (Block C1),Oil,Crude,GT,Saudi Arabia,RIYADH,Riyadh,0,680,2855.739443,,Active,2012,2100,,
6,Al Dur IWPP,Gas,Gas,CC,Bahrain,BAH,,0,1234,1593.693192,,Active,2012,2100,,
248,Riyadh PP11 Power Plant,Gas,Gas_ipp,CC,Saudi Arabia,RIYADH,Riyadh,0,1805,1593.693192,,Active,2013,2100,,
163,Riyadh PP4 Power Plant,Oil,Diesel,GT,Saudi Arabia,RIYADH,Riyadh,0,336.45,3806.920534,,Active,1975,2100,,
164,Riyadh PP5 Power Plant,Oil,Crude,GT,Saudi Arabia,RIYADH,Riyadh,0,608,3378.979661,,Active,1979,2100,,
313,Jebel Ali M Power Station,Gas,Gas,CC,United Arab Emirates,UAE,Dubai,0,2058,1593.693192,,Active,2012,2100,,
249,Riyadh PP7 Gas Turbine Power Plant,Gas,Gas,GT,Saudi Arabia,RIYADH,Riyadh,0,1315.6,4469.938427,,Active,1980,2100,,
250,Riyadh PP8 Power Plant,Gas,Gas,GT,Saudi Arabia,RIYADH,Riyadh,0,2065,3439.102255,,Active,1983,2100,,
251,Riyadh PP9 Power Plant Block A & B,Gas,Gas,CC,Saudi Arabia,RIYADH,Riyadh,0,1200,2128.104202,,Active,1997,2100,,
252,Riyadh PP9 Power Plant Block C & D,Oil,Crude,GT,Saudi Arabia,RIYADH,Riyadh,0,1110,2913.586366,,Active,2007,2100,,
346,Al Qusais Biogas Power Project,Landfill Gas ; Municipal Solid Waste ,Landfill Gas ; Municipal Solid Waste ,Biogas,United Arab Emirates,UAE,Dubai,0,1,,,Active,2013,2100,,
253,Riyadh PP9 Power Plant Block E,Gas,Gas,GT,Saudi Arabia,RIYADH,Riyadh,0,480,3058.89281,,Active,2004,2100,,
254,Riyadh PP9 Power Plant Block F,Oil,Crude,GT,Saudi Arabia,RIYADH,Riyadh,0,666,2913.586366,,Active,2008,2100,,
255,Riyadh Steam Turbine Power Plant 10,Gas,Gas,ST,Saudi Arabia,RIYADH,Riyadh,0,1350,2264.133992,,Under Construction,2015,2100,,
165,Safaniyah Power Plant,Gas,Gas,GT,Saudi Arabia,EOA,Eastern Province,0,75.2,4469.938427,,Active,1974,2100,,
326,Shuweihat S3 Power Plant,Gas,Gas,CC,United Arab Emirates,UAE,Abu Dhabi,0,1600,1593.693192,,Active,2014,2100,,
166,Sharourah Diesel Engine Power Plant,Oil,Diesel,DG,Saudi Arabia,SOA,Najran,0,75,2476.989981,,Active,1988,2100,,
21,Az Zour North I IWPP,Dual-Fuel,Gas,CC,Kuwait,KUW,Al Ahmadi ,0,1539,1593.693192,,Active,2015,2100,,
24,Az Zour Open Cycle Power Plant,Gas,Gas,GT,Kuwait,KUW,Al Ahmadi ,0,523.7,2491.302093,,Active,2015,2100,,
33,Sabiya Gas Fired Power Plant (Phase I & III),Gas,Gas,CC,Kuwait,KUW,Al Jahra ,0,523.7,1593.693192,,Active,2015,2100,,
256,Sharourah Gas Turbine Power Plant,Oil,Diesel,GT,Saudi Arabia,SOA,Najran,0,212.99,3002.998506,,Active,2009,2100,,
257,Shaybah Gas Fired Power Plant,Gas,Gas_ipp,GT,Saudi Arabia,NEOA,Northern Borders,0,210,3280.247904,,Active,2000,2100,,
258,Shaybah NGL Power Plant,Gas,Gas_ipp,CC,Saudi Arabia,EOA,Eastern Province,0,900,1593.693192,,Under Construction,2017,2100,,
259,Shedgum Cogeneration Plant,Gas,Gas_ipp,GT,Saudi Arabia,EOA,Eastern Province,0,482,3058.89281,,Active,2006,2100,,
167,Shedgum Gas Turbine Power Plant,Gas,Gas,GT,Saudi Arabia,EOA,Eastern Province,0,1108.8,4469.938427,,Active,1978,2100,,
321,Mirfa Open Cycle IWPP,Gas,Gas,GT,United Arab Emirates,UAE,Abu Dhabi,0,360,2491.302093,,Under Construction,2016,2100,,
30,Kuwait Captive Diesel CHP plant,Oil,Diesel,GT,Kuwait,KUW,Al Ahmadi ,0,1,2999.431723,,Permitting,2017,2100,,
31,Kuwait Captive Gas CHP plant,Gas,Gas,GT,Kuwait,KUW,Al Ahmadi ,0,1,2491.302093,,Permitting,2017,2100,,
35,Sabiya Gas Fired Power Plant Phase II,Gas,Gas,GT,Kuwait,KUW,Al Jahra ,0,588,2491.302093,,Permitting,2017,2100,,
142,Umm Al Houl IWPP,Gas,Gas,CC,Qatar ,QAT,Doha,0,2520,1593.693192,,Under Construction,2017,2100,,
260,Shoaiba II Combined Cycle Power Plant,Oil,Crude,CC,Saudi Arabia,WOA,Makkah,0,1200,2597.068314,,Active,2014,2100,,
261,Shoaiba Power Plant,Oil,HFO,ST,Saudi Arabia,WOA,Makkah,0,5600,2456.714235,,Active,2000,2100,,
262,Shuaibah Phase III IWPP,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Makkah,0,900,2299.163507,,Active,2009,2100,,
263,Shuqaiq Phase 2 IWPP,Oil,Crude_ipp,ST,Saudi Arabia,SOA,Jizan,0,850,2755.32734,,Active,2010,2100,,
264,Shuqaiq Steam Power Plant,Oil,Crude,ST,Saudi Arabia,SOA,Jizan,0,2640,2726.403878,,Under Construction,2017,2100,,
265,SPCC Bisha Captive Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,SOA,Asir,0,40,2455.007354,,Active,2000,2100,,
266,Spcc Jazan Captive Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,SOA,Jizan,0,69.6,2476.989981,,Active,1981,2100,,
267,SPCC Tahama Captive Power Plant,Oil,Diesel_ipp,DG,Saudi Arabia,SOA,Asir,0,56,2455.007354,,Active,2000,2100,,
168,SWCC Al-Jubail Power Plant,Gas,Gas_ipp,ST,Saudi Arabia,EOA,Eastern Province,0,1570,2571.068919,,Active,1980,2100,,
268,SWCC Al-Khobar Power Plant,Gas,Gas_ipp,ST,Saudi Arabia,EOA,Eastern Province,0,1190,2571.068919,,Active,1982,2100,,
169,SWCC Al-Shoaibah Power Plant,Oil,HFO_ipp,ST,Saudi Arabia,WOA,Makkah,0,782.8,2457.182317,,Active,1988,2100,,
170,SWCC Al-Shuqaiq Power Plant,Oil,HFO_ipp,ST,Saudi Arabia,SOA,Jizan,0,128,2457.182317,,Active,1989,2100,,
