,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-03-12 15:00:00,4817.921340941005,6130.97224349442,456.7636919433627
2016-03-12 16:00:00,4782.68458718586,6086.132250489997,453.4230666823126
2016-03-12 17:00:00,4730.181824090694,6019.320660913411,448.4455350433482
2016-03-12 18:00:00,4562.102508678651,5805.433894282326,432.51075254813986
2016-03-12 19:00:00,4140.318566229563,5268.699178019412,392.52346817337167
2016-03-12 20:00:00,3453.906603079334,4395.216114293301,327.44808808811825
2016-03-12 21:00:00,2927.117134439913,3724.858218877213,277.5057404354211
2016-03-12 22:00:00,2644.166001786097,3364.7930750517166,250.68051958918988
2016-03-12 23:00:00,2689.6214141302344,3422.6366660274193,254.98992617594436
2016-03-13 00:00:00,2760.4472891780765,3512.765051966305,261.7045829506548
2016-03-13 01:00:00,2929.583707202774,3727.9970183875225,277.7395842036946
2016-03-13 02:00:00,3296.7506813313867,4195.229745493584,312.54889942383534
2016-03-13 03:00:00,4366.890892875146,5557.020333037836,414.00368860192305
2016-03-13 04:00:00,5278.113344983202,6716.582552132151,500.3922578526753
2016-03-13 05:00:00,5082.549361642145,6467.720590957616,481.85178765384785
2016-03-13 06:00:00,5060.702574313956,6439.919795294875,479.7805999919969
2016-03-13 07:00:00,4864.081488360246,6189.71263433021,461.1399110353381
2016-03-13 08:00:00,4664.289094568573,5935.469873995145,442.1985658051847
2016-03-13 09:00:00,4496.209779156529,5721.583107364059,426.26378330997636
2016-03-13 10:00:00,4384.50926975272,5579.440329540047,415.674001232448
2016-03-13 11:00:00,4270.342187586049,5434.158752205724,404.8503753866461
2016-03-13 12:00:00,4325.311523444076,5504.10914129262,410.061750793884
2016-03-13 13:00:00,4356.319866748603,5543.5683351365105,413.00150102360806
2016-03-13 14:00:00,4508.190275433279,5736.828704985563,427.39959589873337
2016-03-13 15:00:00,4577.606680330915,5825.163491204271,433.9806276630019
2016-03-13 16:00:00,4584.301663544393,5833.683089875111,434.61534646260134
2016-03-13 17:00:00,4506.780805283073,5735.035105265385,427.26597088829135
2016-03-13 18:00:00,4340.110960021236,5522.941938354476,411.464813403525
2016-03-13 19:00:00,3931.0122489240002,5002.349619573154,372.68015412273485
2016-03-13 20:00:00,3269.6183809399245,4160.702950880181,309.9766179728269
2016-03-13 21:00:00,2767.4946399291052,3521.733050567188,262.3727080028648
2016-03-13 22:00:00,2518.0184233426776,3204.265900095891,238.72108115463098
2016-03-13 23:00:00,2565.9404084496746,3265.248290581903,243.26433150965894
2016-03-14 00:00:00,2625.8428898334214,3341.476278689418,248.94339445344391
2016-03-14 01:00:00,2771.7230503797227,3527.113849727719,262.7735830341908
2016-03-14 02:00:00,3161.0891793740775,4022.595772426566,299.68749216879297
2016-03-14 03:00:00,4251.3143405582705,5409.945155983336,403.04643774567904
2016-03-14 04:00:00,5022.999247795951,6391.941002780147,476.2061309626735
2016-03-14 05:00:00,4804.53137451405,6113.933046152739,455.49425434416366
2016-03-14 06:00:00,4669.574607631845,5942.195872945807,442.6996595943422
2016-03-14 07:00:00,4540.2557213504615,5777.633098619584,430.4395648862888
2016-03-14 08:00:00,4345.748840622059,5530.116337235184,411.999313445293
2016-03-14 09:00:00,4235.810168906006,5390.215559061391,401.5765626308171
2016-03-14 10:00:00,4129.395172565468,5254.798780188042,391.48787434244616
2016-03-14 11:00:00,4028.970424363303,5127.004800125443,381.9670923484537
2016-03-14 12:00:00,4022.2754411498263,5118.485201454603,381.33237354885426
2016-03-14 13:00:00,4017.694663161658,5112.656002364029,380.89809226491775
2016-03-14 14:00:00,4204.4494580639275,5350.307965287458,398.6034061484827
2016-03-14 15:00:00,4318.264172693046,5495.141142691736,409.39362574167404
2016-03-14 16:00:00,4316.854702542841,5493.347542971559,409.260000731232
2016-03-14 17:00:00,4268.932717435843,5432.365152485547,404.7167503762041
2016-03-14 18:00:00,4146.661181905489,5276.770376760208,393.12478072036066
2016-03-14 19:00:00,3774.913429788707,4803.708450563571,357.8811842162835
2016-03-14 20:00:00,3141.7089648087467,3997.9337762741347,297.85014827521553
2016-03-14 21:00:00,2644.8707368612,3365.689874911805,250.7473320944109
2016-03-14 22:00:00,2397.8610930376317,3051.3615239508167,227.32954901445055
2016-03-14 23:00:00,2465.515660247511,3137.4543105193043,233.7435495156665
2016-03-15 00:00:00,2473.972481148746,3148.2159088403655,234.54529957831852
2016-03-15 01:00:00,2670.593567102456,3398.423069805032,253.18598853497735
2016-03-15 02:00:00,3173.422043188378,4038.289769978113,300.85671101016044
2016-03-15 03:00:00,4357.376969361258,5544.913534926643,413.1017197814395
2016-03-15 04:00:00,4847.167846557776,6168.189437688088,459.53641091003414
2016-03-15 05:00:00,4582.539825856636,5831.44109022489,434.44831519954886
2016-03-15 06:00:00,4472.953521678134,5691.988711981142,424.0589706376834
2016-03-15 07:00:00,4313.683394704878,5489.311943601161,408.95934445773753
2016-03-15 08:00:00,4127.633334877712,5252.556780537821,391.32084307939374
2016-03-15 09:00:00,4032.8464672763703,5131.93719935593,382.3345611271693
2016-03-15 10:00:00,3913.746239583979,4980.378023000988,371.04324774482035
2016-03-15 11:00:00,3850.320082824718,4899.666035593032,365.0301222749304
2016-03-15 12:00:00,3906.69888883295,4971.410024400103,370.37512269261026
2016-03-15 13:00:00,3971.886883279969,5054.364011458282,376.5552794255528
2016-03-15 14:00:00,4116.357573676064,5238.2079827764055,390.25184299585766
2016-03-15 15:00:00,4293.598445064445,5463.753147588641,407.055188058939
2016-03-15 16:00:00,4312.978659629775,5488.415143741073,408.89253195251655
2016-03-15 17:00:00,4268.932717435843,5432.365152485547,404.7167503762041
2016-03-15 18:00:00,4167.098499083473,5302.777572702771,395.0623433717696
2016-03-15 19:00:00,3812.9691238442647,4852.135643008345,361.48905949821744
2016-03-15 20:00:00,3080.7493808123463,3920.3605883764867,292.070866573599
2016-03-15 21:00:00,2570.168818900292,3270.6290897424333,243.6652065409849
2016-03-15 22:00:00,2407.375016551521,3063.468322062011,228.2315178349341
2016-03-15 23:00:00,2480.6674643622237,3156.735507511205,235.180018377918
2016-03-16 00:00:00,2538.808108058213,3230.721495968499,240.69205005865047
2016-03-16 01:00:00,2733.667356324166,3478.686657282945,259.1657077522568
2016-03-16 02:00:00,3140.299494658542,3996.1401765539576,297.7165232647735
2016-03-16 03:00:00,4241.095681969279,5396.941558012055,402.07765641997463
2016-03-16 04:00:00,5036.741581760458,6409.4286000518705,477.50897481448294
2016-03-16 05:00:00,4877.11908724965,6206.303431741846,462.3759423819266
2016-03-16 06:00:00,4767.885150608699,6067.299453428141,452.0200040726716
2016-03-16 07:00:00,4608.615023635442,5864.622685048161,436.92037789272575
2016-03-16 08:00:00,4403.537116780498,5603.653925762434,417.477938873415
2016-03-16 09:00:00,4221.3630998663975,5371.831161929579,400.2069062737866
2016-03-16 10:00:00,4108.253120312381,5227.894784385389,389.4834991858162
2016-03-16 11:00:00,4055.397989679663,5160.634794878759,384.4725612942413
2016-03-16 12:00:00,4070.5497937943755,5179.91599187066,385.90903015649275
2016-03-16 13:00:00,4102.967607249109,5221.1687854347265,388.9824053966587
