PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
203.0,GENNEVILLIERS 1,FR,COMC,GAS,0.525,5,1,0.0550246305,0.0550246305,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
198.0,BEAUCHASTEL,FR,HROR,WAT,1.0,0,0,1.1111111111,1.1111111111,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
189.0,PRAGNERES,FR,HDAM,WAT,0.85,0,0,0.4761904762,0.4761904762,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,78246.0,0.0,0.0,0.86,,,,
187.0,ORAISON,FR,HDAM,WAT,0.85,0,0,0.4812834225,0.4812834225,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,77418.0,0.0,0.0,0.86,,,,
185.0,MONTEREAU 6,FR,STUR,OIL,0.41,8,6,0.027027027000000002,0.027027027000000002,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
185.0,MONTEREAU 5,FR,STUR,OIL,0.41,8,6,0.027027027000000002,0.027027027000000002,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
183.0,SARRANS,FR,HDAM,WAT,0.85,0,0,0.49180327869999996,0.49180327869999996,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,75762.0,0.0,0.0,0.86,,,,
182.0,VAIRES 3,FR,STUR,OIL,0.41,8,6,0.0274725275,0.0274725275,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
181.0,VAIRES 1,FR,STUR,OIL,0.41,8,6,0.027624309399999998,0.027624309399999998,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
180.0,BOURG les VALENCE,FR,HROR,WAT,1.0,0,0,1.2222222222,1.2222222222,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
179.0,VAIRES 2,FR,STUR,OIL,0.41,8,6,0.027932960899999998,0.027932960899999998,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
175.0,FESSENHEIM,FR,HROR,WAT,1.0,0,0,1.2571428570999998,1.2571428570999998,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
168.0,RHINAU,FR,HROR,WAT,1.0,0,0,1.3095238095000001,1.3095238095000001,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
159.0,SAINT CHAMAS,FR,HDAM,WAT,0.85,0,0,0.5660377357999999,0.5660377357999999,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,65826.0,0.0,0.0,0.86,,,,
156.0,MARCKOLSHEIM,FR,HROR,WAT,1.0,0,0,1.4102564103,1.4102564103,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
156.0,CADEROUSSE,FR,HROR,WAT,1.0,0,0,1.4102564103,1.4102564103,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
156.0,OTTMARSHEIM,FR,HROR,WAT,1.0,0,0,1.4102564103,1.4102564103,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
154.0,KEMBS,FR,HROR,WAT,1.0,0,0,1.4285714286000002,1.4285714286000002,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
150.0,MAREGES,FR,HROR,WAT,1.0,0,0,1.4666666667,1.4666666667,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
148.0,STRASBOURG,FR,HROR,WAT,1.0,0,0,1.4864864865,1.4864864865,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
145.0,SAUSSAZ,FR,HROR,WAT,1.0,0,0,1.5172413793000001,1.5172413793000001,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
141.0,SAINT ESTEVE,FR,HDAM,WAT,0.85,0,0,0.6382978723,0.6382978723,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,58374.0,0.0,0.0,0.86,,,,
141.0,VOGELGRUN,FR,HROR,WAT,1.0,0,0,1.5602836879,1.5602836879,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
141.0,GERSTHEIM,FR,HROR,WAT,1.0,0,0,1.5602836879,1.5602836879,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
140.0,BAIX LOGIS NEUF 1,FR,HROR,WAT,1.0,0,0,1.5714285713999998,1.5714285713999998,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
