,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP,DK_ICEN_GAS_CHP
2016-04-20 18:00:00,1968.0153746371009,722.357257963148,390.20452284912153,91.68380581839953
2016-04-20 19:00:00,1803.9510886992407,662.1376940069423,357.67498713715094,84.04055347011192
2016-04-20 20:00:00,1340.1103540316026,491.88560881278505,265.7078435459346,62.43163496469964
2016-04-20 21:00:00,923.90118624915,339.11662283171984,183.18475870980657,43.04172520556444
2016-04-20 22:00:00,656.6351720600546,241.01701058048175,130.19309569514485,30.590620573676528
2016-04-20 23:00:00,686.8774367490612,252.1173910332385,136.18932347615325,31.999515015757197
2016-04-21 00:00:00,719.0098429811306,263.91154526429256,142.56031549347466,33.4964653604679
2016-04-21 01:00:00,825.235797701266,302.9016316046008,163.62206557426666,38.445207088276256
2016-04-21 02:00:00,1137.1091523066461,417.37430502365515,225.45816456591578,52.974431022233155
2016-04-21 03:00:00,1779.7572769480353,653.257389644737,352.8780049123443,82.91343791644739
2016-04-21 04:00:00,2230.7450491228456,818.7918131464725,442.296751696632,103.92357628397535
2016-04-21 05:00:00,2177.4430576084715,799.2273925984886,431.72840023260466,101.44039982980817
2016-04-21 06:00:00,1963.47903493375,720.6922008952345,389.3050886819703,91.47247165208745
2016-04-21 07:00:00,1805.4632019336907,662.6927130295801,357.97479852620137,84.11099819221593
2016-04-21 08:00:00,1644.8011707733435,603.7219418743098,326.1198384395943,76.62624646866239
2016-04-21 09:00:00,1519.2957723139662,557.6553629953692,301.23549314840943,70.77933453402761
2016-04-21 10:00:00,1444.8241955172878,530.3206761304555,286.4697822376762,67.30993197040397
2016-04-21 11:00:00,1406.2653080388043,516.1676910531905,278.8245918168905,65.51359155675111
2016-04-21 12:00:00,1373.3768451895098,504.0960273108176,272.3036941050439,63.98141885098838
2016-04-21 13:00:00,1396.8146003234897,512.698822161704,276.9507706353254,65.0733120436009
2016-04-21 14:00:00,1461.835469404854,536.5646401351312,289.84266036449344,68.10243509407434
2016-04-21 15:00:00,1544.2456406823967,566.8131768688934,306.18238106774135,71.94167244874416
2016-04-21 16:00:00,1641.0208876872175,602.334394317715,325.37030996696814,76.4501346634023
2016-04-21 17:00:00,1750.6490971848664,642.5732734589584,347.1066356731236,81.55737701594472
2016-04-21 18:00:00,1722.6750023475354,632.3054215401585,341.56012497569094,80.25414965702012
2016-04-21 19:00:00,1591.4991792589694,584.1575213263259,315.55148697556695,74.14307001449521
2016-04-21 20:00:00,1176.0460680937422,431.66604485657956,233.1783078339641,54.78838261641202
2016-04-21 21:00:00,776.8481741988555,285.1410228801899,154.0281011246532,36.19097598094718
2016-04-21 22:00:00,598.7968408423296,219.7875329645844,118.72531006396629,27.89610995319725
2016-04-21 23:00:00,633.5754452346871,232.55297048525466,125.62097201212593,29.516338561590015
2016-04-22 00:00:00,648.3185492705779,237.9644059559736,128.54413305536752,30.20317460210434
2016-04-22 01:00:00,745.8498528926239,273.7631329161143,147.88196764911962,34.7468591778145
2016-04-22 02:00:00,1032.0172825123486,378.8004829503254,204.6212730269116,48.07852283600284
2016-04-22 03:00:00,1619.095245787688,594.2866184894666,321.02304482573714,75.42868619289384
2016-04-22 04:00:00,2062.5224517902466,757.045946878013,408.94273466477284,96.08660094990165
2016-04-22 05:00:00,2009.2204602758725,737.4815263300289,398.3743832007454,93.60342449573444
2016-04-22 06:00:00,1813.401796414555,665.6065628984289,359.5488083187161,84.48083298326213
2016-04-22 07:00:00,1665.970756055648,611.4922081912395,330.3171978863001,77.61247257811885
2016-04-22 08:00:00,1523.0760554000922,559.0429105519637,301.98502162103546,70.95544633928769
2016-04-22 09:00:00,1401.350940026841,514.3638792296177,277.8502048024767,65.28464620991302
2016-04-22 10:00:00,1352.9633165244302,496.60327050520675,268.25624035286324,63.03041510258393
2016-04-22 11:00:00,1299.2832967014438,476.9000952015635,257.61293604157333,60.52962746789075
2016-04-22 12:00:00,1272.0652584813379,466.9097527940823,252.21633103866574,59.26162247001814
2016-04-22 13:00:00,1290.2106172947415,473.5699810657364,255.8140677072708,60.10695913526654
2016-04-22 14:00:00,1353.341344833043,496.7420252608663,268.3311932001259,63.04802628310995
2016-04-22 15:00:00,1428.1909499383341,524.2154668814392,283.17185695812157,66.53504002725958
2016-04-22 16:00:00,1517.4056307709036,556.9615892170718,300.8607289120964,70.69127863139758
2016-04-22 17:00:00,1620.2293307135258,594.7028827564448,321.2479033675249,75.48151973447183
2016-04-22 18:00:00,1592.6332641848073,584.5737855933043,315.7763455173548,74.19590355607323
2016-04-22 19:00:00,1471.2861771201683,540.0335090266177,291.71648154605856,68.54271460722455
2016-04-22 20:00:00,1089.4775854214608,399.8912058105632,216.01410581082752,50.75542227595609
2016-04-22 21:00:00,716.7416731294552,263.07901673033587,142.11059840989904,33.39079827731186
2016-04-22 22:00:00,571.2007743136112,209.65843580144383,113.25375221379613,26.610493774798638
2016-04-22 23:00:00,574.2250007825119,210.7684738467195,113.85337499189697,26.75138321900671
2016-04-23 00:00:00,613.1619165696077,225.06021367964382,121.57351825994526,28.56533481318556
2016-04-23 01:00:00,687.2554650576737,252.25614578889798,136.26427632341586,32.01712619628321
2016-04-23 02:00:00,970.7766965171102,356.32221253349286,192.4789117703696,45.22551159078948
2016-04-23 03:00:00,1550.6721219288106,569.1720077151043,307.45657947120566,72.24106251768632
2016-04-23 04:00:00,1899.214222469611,697.1038924331262,376.5631046473274,88.47857096266601
2016-04-23 05:00:00,1856.8750519050018,681.5633597992667,368.16838575391563,86.50611874375306
