,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-07-05 18:00:00,1642.8900674766558,112.36715080821764,24.02928301898808
2016-07-05 19:00:00,1504.1746596184826,102.8795682469796,22.000399978969487
2016-07-05 20:00:00,1141.279374605632,78.05897311047053,16.69261117285447
2016-07-05 21:00:00,727.1054080148785,49.73111996554171,10.634808731092766
2016-07-05 22:00:00,481.88812303336886,32.95923230989338,7.048205063192585
2016-07-05 23:00:00,524.6203576816213,35.881947316909844,7.673216426231491
2016-07-06 00:00:00,520.0184247195017,35.567193393077304,7.6059075102119165
2016-07-06 01:00:00,646.2428716804933,44.20044387534133,9.452094921034531
2016-07-06 02:00:00,987.4433298719237,67.53719908521127,14.442570265914412
2016-07-06 03:00:00,1764.512581475528,120.68564736664916,25.80816151379113
2016-07-06 04:00:00,2208.270402822764,151.0369185933586,32.29866412996438
2016-07-06 05:00:00,2112.944648607432,144.51701588539882,30.904408012416056
2016-07-06 06:00:00,1780.2906373456517,121.76480367693213,26.03893494014395
2016-07-06 07:00:00,1711.2616429138595,117.043494819444,25.029301199850337
2016-07-06 08:00:00,1523.8972294561377,104.22851363483336,22.28886676191052
2016-07-06 09:00:00,1422.654704289509,97.30392731051742,20.808070609479884
2016-07-06 10:00:00,1372.690860700783,93.88659899462125,20.07728809269593
2016-07-06 11:00:00,1230.030938875079,84.12922735581243,17.99071169608912
2016-07-06 12:00:00,1187.2987042268269,81.20651234879597,17.365700333050217
2016-07-06 13:00:00,1107.7510058816188,75.76576595111915,16.202217641854713
2016-07-06 14:00:00,1178.7522572971766,80.62196934739268,17.240698060442437
2016-07-06 15:00:00,1256.3276986586193,85.9278212062841,18.375334073343833
2016-07-06 16:00:00,1320.0973411337034,90.2894112936779,19.308043338186508
2016-07-06 17:00:00,1434.488246192102,98.11329454322969,20.981150679244504
2016-07-06 18:00:00,1478.5353188295314,101.12593924276973,21.625393161146146
2016-07-06 19:00:00,1348.3663579010088,92.22289968293495,19.721512393735324
2016-07-06 20:00:00,1029.5181455255874,70.41494924596594,15.057966069521948
2016-07-06 21:00:00,648.8725476588473,44.3803032603885,9.490557158760003
2016-07-06 22:00:00,499.6384358872583,34.17328315896176,7.307825167839515
2016-07-06 23:00:00,543.6855085246876,37.18592785850181,7.952067649741157
2016-07-07 00:00:00,539.7409945571567,36.91613878093106,7.89437429315295
2016-07-07 01:00:00,669.9099554856791,45.81917834076583,9.79825506056377
2016-07-07 02:00:00,1020.971698595937,69.83040624456264,14.932963796914166
2016-07-07 03:00:00,1806.5873971291921,123.56339752740382,26.423557317398664
2016-07-07 04:00:00,2266.7806933411402,155.0387899106581,33.15444891935611
2016-07-07 05:00:00,2171.4549391258083,148.5188872026983,31.760192801807793
2016-07-07 06:00:00,1833.5415759073203,125.40695622413729,26.817795254084746
2016-07-07 07:00:00,1761.8829054971739,120.50578798160198,25.76969927606566
2016-07-07 08:00:00,1567.9443020935673,107.24115833437342,22.933109243812165
2016-07-07 09:00:00,1462.0998439648192,100.00181808622494,21.38500417536195
2016-07-07 10:00:00,1408.8489054031506,96.35966553901979,20.606143861421156
2016-07-07 11:00:00,1266.1889835774468,86.60229390021098,18.51956746481435
2016-07-07 12:00:00,1222.7993299346058,83.63461404693273,17.884940542344076
2016-07-07 13:00:00,1141.9367936002204,78.10393795673232,16.702226732285837
2016-07-07 14:00:00,1217.539977977898,83.2748952768384,17.808016066893135
2016-07-07 15:00:00,1293.1431623555752,88.44585259694445,18.91380540150043
2016-07-07 16:00:00,1360.8573187981904,93.077231761909,19.90420802293131
2016-07-07 17:00:00,1477.877899834943,101.08097439650795,21.61577760171478
2016-07-07 18:00:00,1522.5823914669609,104.1385839423098,22.26963564304779
2016-07-07 19:00:00,1389.1263355654958,95.01072015116605,20.317677078480127
2016-07-07 20:00:00,1061.0742572658355,72.57326186653194,15.519512922227602
2016-07-07 21:00:00,670.5673744802677,45.86414318702762,9.807870619995139
2016-07-07 22:00:00,562.7506593677542,38.489908400093775,8.230918873250824
2016-07-07 23:00:00,609.4274079835375,41.68241248468099,8.913623592877935
2016-07-08 00:00:00,603.510637032241,41.277728868324864,8.827083557995625
2016-07-08 01:00:00,738.9389499174715,50.54048719825398,10.80788880085739
2016-07-08 02:00:00,1122.8716427571542,76.79995741514037,16.423375508776175
2016-07-08 03:00:00,1929.5247491172408,131.9718237783589,28.221666931064444
2016-07-08 04:00:00,2446.2560788638,167.31419294012724,35.77949664411952
2016-07-08 05:00:00,2379.856760410362,162.7727434676863,34.80832514155138
2016-07-08 06:00:00,2034.0543692568122,139.1212343339838,29.750540880651926
2016-07-08 07:00:00,1936.0989390631262,132.4214722409768,28.31782252537812
2016-07-08 08:00:00,1730.3267937569258,118.34747536103596,25.30815242336
2016-07-08 09:00:00,1600.815251822992,109.48940064746301,23.413887215380555
2016-07-08 10:00:00,1538.3604473370847,105.21774025259278,22.50040906940061
2016-07-08 11:00:00,1400.3024584735003,95.77512253761651,20.48114158881338
2016-07-08 12:00:00,1345.0792629280663,91.998075451626,19.67343459657848
2016-07-08 13:00:00,1284.5967154259247,87.86130959554116,18.78880312889265
2016-07-08 14:00:00,1355.5979668414823,92.71751299181466,19.827283547480366
2016-07-08 15:00:00,1439.0901791542217,98.42804846706221,21.048459595264077
2016-07-08 16:00:00,1531.7862573911998,104.76809178997489,22.40425347508694
2016-07-08 17:00:00,1657.3532853576028,113.3563774259771,24.24082532647818
2016-07-08 18:00:00,1684.9648831303198,115.24490096897235,24.644678822595626
2016-07-08 19:00:00,1546.2494752721468,105.75731840773427,22.615795782577024
2016-07-08 20:00:00,1175.465162324234,80.39714511608372,17.192620263285598
2016-07-08 21:00:00,742.8834638850024,50.81027627582471,10.865582157445594
2016-07-08 22:00:00,516.0739107519707,35.297404315506554,7.54821415362371
2016-07-08 23:00:00,533.1668046112717,36.46649031831314,7.798218698839272
2016-07-09 00:00:00,564.065497356931,38.57983809261735,8.250149992113558
2016-07-09 01:00:00,662.6783465452057,45.324565031886124,9.692483906818726
2016-07-09 02:00:00,1032.8052404985299,70.63977347727489,15.106043866678785
2016-07-09 03:00:00,1821.7080340047273,124.59758899142506,26.644715184320127
2016-07-09 04:00:00,2261.521341384432,154.67907114056376,33.077524443905176
2016-07-09 05:00:00,2151.074950293565,147.12497696858273,31.462110459435383
2016-07-09 06:00:00,1877.5886485447495,128.41960092367736,27.46203773598639
2016-07-09 07:00:00,1803.9577211508379,123.38353814235666,26.385095079673196
2016-07-09 08:00:00,1595.555899866284,109.12968187736867,23.33696273992961
2016-07-09 09:00:00,1521.9249724723725,104.093619096048,22.26002008361642
2016-07-09 10:00:00,1445.6643691001063,98.87769692968014,21.144615189577756
2016-07-09 11:00:00,1298.4025143122833,88.8055713670388,18.990729876951374
2016-07-09 12:00:00,1215.5677209941323,83.140000738053,17.77916938859903
2016-07-09 13:00:00,1164.2890394162296,79.63274272963326,17.029155752952345
2016-07-09 14:00:00,1253.6980226802655,85.74796182123694,18.33687183561836
