,HE Fierza,HE Koman,HE Ulza,HE Shkopetit,HE Vau Dejes
2015-01-11 14:00:00+00:00,1.442592242,0.48513509,0.671211339,0.608873231,0.579781548
2015-01-11 15:00:00+00:00,1.440484773,0.485636139,0.671481336,0.609264538,0.580055806
2015-01-11 16:00:00+00:00,1.438377303,0.486137187,0.671751332,0.609655844,0.580330065
2015-01-11 17:00:00+00:00,1.436269834,0.486638235,0.672021329,0.610047151,0.580604323
2015-01-11 18:00:00+00:00,1.434162364,0.487139284,0.672291325,0.610438458,0.580878581
2015-01-11 19:00:00+00:00,1.432054895,0.487640332,0.672561322,0.610829764,0.581152839
2015-01-11 20:00:00+00:00,1.429947426,0.488141381,0.672831318,0.611221071,0.581427097
2015-01-11 21:00:00+00:00,1.427839956,0.488642429,0.673101315,0.611612378,0.581701355
2015-01-11 22:00:00+00:00,1.425732487,0.489143477,0.673371311,0.612003684,0.581975613
2015-01-11 23:00:00+00:00,1.423625017,0.489644526,0.673641308,0.612394991,0.582249871
2015-01-12 00:00:00+00:00,1.420016825,0.490145574,0.673911304,0.612786298,0.582524129
2015-01-12 01:00:00+00:00,1.416408632,0.490646623,0.674181301,0.613177605,0.582798387
2015-01-12 02:00:00+00:00,1.41280044,0.491147671,0.674451297,0.613568911,0.583072645
2015-01-12 03:00:00+00:00,1.409192247,0.491648719,0.674721294,0.613960218,0.583346903
2015-01-12 04:00:00+00:00,1.405584055,0.492149768,0.67499129,0.614351525,0.583621161
2015-01-12 05:00:00+00:00,1.401975862,0.492650816,0.675261287,0.614742831,0.583895419
2015-01-12 06:00:00+00:00,1.39836767,0.493151865,0.675531283,0.615134138,0.584169677
2015-01-12 07:00:00+00:00,1.394759477,0.493652913,0.67580128,0.615525445,0.584443935
2015-01-12 08:00:00+00:00,1.391151285,0.494153961,0.676071276,0.615916752,0.584718194
2015-01-12 09:00:00+00:00,1.387543092,0.49465501,0.676341273,0.616308058,0.584992452
2015-01-12 10:00:00+00:00,1.383934899,0.495156058,0.676611269,0.616699365,0.58526671
2015-01-12 11:00:00+00:00,1.380326707,0.495657106,0.676881266,0.617090672,0.585540968
2015-01-12 12:00:00+00:00,1.376718514,0.496158155,0.677151262,0.617481978,0.585815226
2015-01-12 13:00:00+00:00,1.373110322,0.496659203,0.677421259,0.617873285,0.586089484
2015-01-12 14:00:00+00:00,1.369502129,0.497160252,0.677691255,0.618264592,0.586363742
2015-01-12 15:00:00+00:00,1.365893937,0.4976613,0.677961252,0.618655898,0.586638
2015-01-12 16:00:00+00:00,1.362285744,0.498162348,0.678231249,0.619047205,0.586912258
2015-01-12 17:00:00+00:00,1.358677552,0.498663397,0.678501245,0.619438512,0.587186516
2015-01-12 18:00:00+00:00,1.355069359,0.499164445,0.678771242,0.619829819,0.587460774
2015-01-12 19:00:00+00:00,1.351461167,0.499665494,0.679041238,0.620221125,0.587735032
2015-01-12 20:00:00+00:00,1.347852974,0.500166542,0.679311235,0.620612432,0.58800929
2015-01-12 21:00:00+00:00,1.344244781,0.50066759,0.679581231,0.621003739,0.588283548
2015-01-12 22:00:00+00:00,1.340636589,0.501168639,0.679851228,0.621395045,0.588557806
2015-01-12 23:00:00+00:00,1.337028396,0.501669687,0.680121224,0.621786352,0.588832065
2015-01-13 00:00:00+00:00,1.332493772,0.502170735,0.680391221,0.622177659,0.589106323
2015-01-13 01:00:00+00:00,1.327959148,0.502671784,0.680661217,0.622568965,0.589380581
2015-01-13 02:00:00+00:00,1.323424523,0.503172832,0.680931214,0.622960272,0.589654839
2015-01-13 03:00:00+00:00,1.318889899,0.503673881,0.68120121,0.623351579,0.589929097
