,[AGRAS 1;AGRAS 2],EDESSAIOS 1,GHIONA 1,[GLAFKOS-II NO1;GLAFKOS-II NO2],[LOUROS 1;LOUROS 2;LOUROS 3],[MAKROHORI-I NO 1;MAKROHORI-I NO 2;MAKROHORI-I NO 3],[STRATOS-II NO 1;STRATOS-II NO 2],[SFIKIA 1;SFIKIA 2;SFIKIA 3],THISAVROS,[ILARIONAS 1;ILARIONAS 2;ILARIONAS A1],[ASSOMATA 1;ASSOMATA 2],[KASTRAKI 1;KASTRAKI 2;KASTRAKI 3;KASTRAKI 4],LADONAS,[PLASTIRA 1;PLASTIRA 2;PLASTIRA 3],[PIGAI AOOS 1;PIGAI AOOS 2],[PLATANOVRISI 1;PLATANOVRISI 2],[POLYPHYTON 1;POLYPHYTON 2;POLYPHYTON 3],[POURNARI-I NO 1;POURNARI-I NO 2;POURNARI-I NO 3;POURNARI-I NO A1],[POURNARI-II NO 1;POURNARI-II NO 2],[STRATOS-I NO 1;STRATOS-I NO 2],[KREMASTA 1;KREMASTA 2;KREMASTA 3;KREMASTA 4]
2015/01/03 17:00,0.000383046,9.82E-05,0.001084922,0.010212651,0.002052106,0.007518061,0.000380504,0.000771309,0.021019245,0.136254093,0.000112434,0.010034198,0.062466102,0.003271903,0.003221243,0.007314014,0.000743632,0.03119024,0.000483457,0.001092979,0.059645654
2015/01/03 18:00,0.000382935,9.82E-05,0.001084589,0.010155139,0.00204704,0.007515977,0.000380552,0.000772142,0.021085486,0.136249853,0.000112809,0.010016714,0.062219997,0.003281986,0.003220682,0.007391429,0.00075247,0.031154028,0.00048309,0.001090489,0.059612321
2015/01/03 19:00,0.000382824,9.82E-05,0.001084256,0.010097627,0.002041974,0.007513893,0.0003806,0.000772974,0.021151727,0.136245614,0.000113185,0.009999229,0.061973893,0.003292069,0.00322012,0.007468845,0.000761308,0.031117816,0.000482722,0.001088,0.059578988
2015/01/03 20:00,0.000382713,9.82E-05,0.001083923,0.010040115,0.002036909,0.007511809,0.000380648,0.000773806,0.021217967,0.136241374,0.00011356,0.009981745,0.061727789,0.003302151,0.003219558,0.00754626,0.000770145,0.031081604,0.000482355,0.001085511,0.059545655
2015/01/03 21:00,0.000382602,9.82E-05,0.001083589,0.009982603,0.002031843,0.007509725,0.000380696,0.000774639,0.021284208,0.136237134,0.000113936,0.00996426,0.061481685,0.003312234,0.003218996,0.007623675,0.000778983,0.031045392,0.000481987,0.001083022,0.059512322
2015/01/03 22:00,0.000382491,9.82E-05,0.001083256,0.009925091,0.002026777,0.007507641,0.000380744,0.000775471,0.021350449,0.136232894,0.000114311,0.009946776,0.061235581,0.003322317,0.003218435,0.00770109,0.000787821,0.03100918,0.00048162,0.001080533,0.059478989
2015/01/03 23:00,0.00038238,9.82E-05,0.001082923,0.009867579,0.002021711,0.007505557,0.000380792,0.000776303,0.021416689,0.136228655,0.000114686,0.009929291,0.060989477,0.0033324,0.003217873,0.007778505,0.000796659,0.030972969,0.000481252,0.001078044,0.059445656
2015/01/04 00:00,0.000382215,9.82E-05,0.001083833,0.009817489,0.002018976,0.007506735,0.000380807,0.000777482,0.021511733,0.1361896,0.000115084,0.009917907,0.060801545,0.003337762,0.003216695,0.007899776,0.000802809,0.030949463,0.00048134,0.001076857,0.059411953
2015/01/04 01:00,0.000382049,9.81E-05,0.001084744,0.009767398,0.002016241,0.007507913,0.000380823,0.00077866,0.021606777,0.136150546,0.000115481,0.009906524,0.060613614,0.003343124,0.003215517,0.008021047,0.000808959,0.030925957,0.000481429,0.001075671,0.05937825
2015/01/04 02:00,0.000381883,9.81E-05,0.001085654,0.009717307,0.002013506,0.007509091,0.000380838,0.000779838,0.02170182,0.136111492,0.000115878,0.00989514,0.060425683,0.003348485,0.003214338,0.008142317,0.000815109,0.030902451,0.000481517,0.001074485,0.059344548
2015/01/04 03:00,0.000381718,9.81E-05,0.001086564,0.009667217,0.002010771,0.007510269,0.000380853,0.000781017,0.021796864,0.136072438,0.000116276,0.009883756,0.060237751,0.003353847,0.00321316,0.008263588,0.000821259,0.030878946,0.000481605,0.001073299,0.059310845
2015/01/04 04:00,0.000381552,9.81E-05,0.001087475,0.009617126,0.002008036,0.007511447,0.000380868,0.000782195,0.021891907,0.136033384,0.000116673,0.009872372,0.06004982,0.003359209,0.003211982,0.008384859,0.00082741,0.03085544,0.000481693,0.001072112,0.059277142
2015/01/04 05:00,0.000381386,9.80E-05,0.001088385,0.009567036,0.002005301,0.007512626,0.000380884,0.000783374,0.021986951,0.13599433,0.000117071,0.009860988,0.059861889,0.003364571,0.003210804,0.00850613,0.00083356,0.030831934,0.000481782,0.001070926,0.059243439
2015/01/04 06:00,0.00038122,9.80E-05,0.001089295,0.009516945,0.002002566,0.007513804,0.000380899,0.000784552,0.022081995,0.135955275,0.000117468,0.009849604,0.059673957,0.003369933,0.003209626,0.0086274,0.00083971,0.030808429,0.00048187,0.00106974,0.059209736
2015/01/04 07:00,0.000381055,9.80E-05,0.001090205,0.009466854,0.001999831,0.007514982,0.000380914,0.00078573,0.022177038,0.135916221,0.000117865,0.00983822,0.059486026,0.003375295,0.003208448,0.008748671,0.00084586,0.030784923,0.000481958,0.001068554,0.059176033
