,HE Jablanica,HE Dubrovnik,HE Trebinje 1,HE Trebinje 2,HE Rama,HE Visegrad,HE Salakovac,HE Bocac,RHE Capljina,HDAM,HROR
2010-01-06 00:00:00+00:00,0.69796033,0.860613344,0.80381158,0,0.765350072,0.75144224,0.665374648,0.779910708,0.1,0.765350072,0.8611572
2010-01-06 01:00:00+00:00,0.699400984,0.860833447,0.804073425,0,0.766068805,0.763313088,0.678536648,0.79113418,0.1,0.766068805,0.8614201
2010-01-06 02:00:00+00:00,0.698678999,0.860905787,0.804125269,0,0.766194046,0.757295174,0.663120805,0.778094157,0.1,0.766194046,0.861683
2010-01-06 03:00:00+00:00,0.697957349,0.86097644,0.804178074,0,0.766906877,0.75127687,0.654474185,0.76506002,0.1,0.766906877,0.861946
2010-01-06 04:00:00+00:00,0.697472222,0.861191485,0.804442803,0,0.767616756,0.763146546,0.667662919,0.776301152,0.1,0.767616756,0.8622089
2010-01-06 05:00:00+00:00,0.696751244,0.861258766,0.804497531,0,0.767733143,0.75712746,0.65227381,0.763278789,0.1,0.767733143,0.8624718
2010-01-06 06:00:00+00:00,0.696030603,0.861324361,0.804764184,0,0.768437121,0.764195212,0.665480366,0.774531694,0.1,0.768437121,0.8627347
2010-01-06 07:00:00+00:00,0.695310297,0.861388269,0.804820834,0,0.768547606,0.758175345,0.65010908,0.761521104,0.1,0.768547606,0.8629461
2010-01-06 08:00:00+00:00,0.695725098,0.861596569,0.805089409,0,0.769245681,0.770043457,0.663333459,0.772785783,0.1,0.769245681,0.863103
2010-01-06 09:00:00+00:00,0.695005465,0.861657106,0.805358946,0,0.769940804,0.775734765,0.67656675,0.784056348,0.1,0.769940804,0.8632599
2010-01-06 10:00:00+00:00,0.694286167,0.861715956,0.8054793,0,0.770632977,0.772464188,0.689808951,0.7953328,0.1,0.770632977,0.8634168
2010-01-06 11:00:00+00:00,0.693567206,0.86177312,0.805539796,0,0.770731657,0.766442758,0.67447331,0.782345756,0.1,0.770731657,0.8635737
2010-01-06 12:00:00+00:00,0.692848581,0.861828598,0.805673649,0,0.771417928,0.778309308,0.687733335,0.793633981,0.1,0.771417928,0.8637305
2010-01-06 13:00:00+00:00,0.692130292,0.861882389,0.805736068,0,0.771510706,0.772287097,0.672415516,0.780658711,0.1,0.771510706,0.8638874
2010-01-06 14:00:00+00:00,0.691412338,0.861934495,0.805799449,0,0.771600532,0.766264495,0.657106609,0.767689327,0.1,0.771600532,0.8640443
2010-01-06 15:00:00+00:00,0.690694721,0.861984914,0.80586379,0,0.771687408,0.760241503,0.641806613,0.75472583,0.1,0.771687408,0.8642012
2010-01-06 16:00:00+00:00,0.68997744,0.862033647,0.805929094,0,0.771771333,0.75421812,0.626515528,0.74176822,0.1,0.771771333,0.8643581
2010-01-06 17:00:00+00:00,0.689260495,0.862080694,0.805995358,0,0.772442847,0.766082716,0.639820109,0.753085878,0.1,0.772442847,0.864515
2010-01-06 18:00:00+00:00,0.688543886,0.862174797,0.806273547,0,0.77311141,0.777946921,0.653133601,0.764409423,0.1,0.77311141,0.8646719
2010-01-06 19:00:00+00:00,0.687827613,0.862218472,0.806341734,0,0.773186481,0.771922366,0.637869251,0.751469473,0.1,0.773186481,0.8648287
2010-01-06 20:00:00+00:00,0.687111675,0.86226046,0.806410883,0,0.773258601,0.76589742,0.622613811,0.738535409,0.1,0.773258601,0.8649856
2010-01-06 21:00:00+00:00,0.686396074,0.862300762,0.806480993,0,0.773918311,0.777760453,0.635954037,0.749876614,0.1,0.773918311,0.8651425
2010-01-06 22:00:00+00:00,0.685680809,0.862339378,0.806552065,0,0.773984528,0.771734726,0.620716421,0.736954324,0.1,0.773984528,0.8652994
2010-01-06 23:00:00+00:00,0.68496588,0.862376308,0.806624097,0,0.774047795,0.765708608,0.605487715,0.72403792,0.1,0.774047795,0.8654563
2010-01-07 00:00:00+00:00,0.684251287,0.862413308,0.806695613,0,0.774703282,0.768809078,0.618854675,0.735396785,0.1,0.774703282,0.8663091
2010-01-07 01:00:00+00:00,0.685700006,0.862596456,0.806977573,0,0.77536045,0.780670548,0.632230546,0.746761536,0.1,0.77536045,0.8671618
2010-01-07 02:00:00+00:00,0.684986085,0.862633597,0.807048052,0,0.775428756,0.774643258,0.617028575,0.733862792,0.1,0.775428756,0.8680146
2010-01-07 03:00:00+00:00,0.686435475,0.862816885,0.807328977,0,0.776089283,0.786503947,0.630422269,0.745239317,0.1,0.776089283,0.8688674
2010-01-07 04:00:00+00:00,0.685808757,0.863000243,0.807609384,0,0.776751491,0.798364245,0.643824874,0.756621728,0.1,0.776751491,0.8697202
2010-01-07 05:00:00+00:00,0.68725882,0.863183671,0.807889273,0,0.777415378,0.810224153,0.657236391,0.768010026,0.1,0.777415378,0.870573
2010-01-07 06:00:00+00:00,0.686546243,0.863221093,0.808118391,0,0.778080945,0.82208367,0.670656819,0.779404211,0.1,0.778080945,0.8714258
2010-01-07 07:00:00+00:00,0.685834002,0.863258584,0.808397245,0,0.778748193,0.829388019,0.684086158,0.790804282,0.1,0.778748193,0.8722655
2010-01-07 08:00:00+00:00,0.685122097,0.863296145,0.808464618,0,0.778826579,0.823358384,0.668937654,0.777940858,0.1,0.778826579,0.8731038
2010-01-07 09:00:00+00:00,0.684410528,0.863333777,0.808531473,0,0.778906645,0.817328359,0.653798062,0.765083321,0.1,0.778906645,0.8739421
2010-01-07 10:00:00+00:00,0.685862271,0.863517557,0.808808773,0,0.779578932,0.829186313,0.667254135,0.776501052,0.1,0.779578932,0.8747803
2010-01-07 11:00:00+00:00,0.685151374,0.863555329,0.808874593,0,0.779662358,0.823155507,0.652132365,0.763655288,0.1,0.779662358,0.8756186
2010-01-07 12:00:00+00:00,0.684440813,0.863593171,0.808993608,0,0.780338005,0.835012679,0.665606261,0.775084792,0.1,0.780338005,0.8764568
2010-01-07 13:00:00+00:00,0.683730588,0.863631083,0.809222505,0,0.781015332,0.846869461,0.679089068,0.786520183,0.1,0.781015332,0.8772951
2010-01-07 14:00:00+00:00,0.6830207,0.863669066,0.809497734,0,0.781694339,0.852519943,0.692580786,0.797961461,0.1,0.781694339,0.8781334
2010-01-07 15:00:00+00:00,0.682311147,0.863707119,0.809561483,0,0.782375026,0.851098141,0.706081416,0.809408626,0.1,0.782375026,0.8789716
2010-01-07 16:00:00+00:00,0.68160193,0.863745242,0.809624714,0,0.782466852,0.845065381,0.691004202,0.796592295,0.1,0.782466852,0.8798099
2010-01-07 17:00:00+00:00,0.68089305,0.863783435,0.809687427,0,0.782560358,0.83903223,0.6759359,0.78378185,0.1,0.782560358,0.8806482
2010-01-07 18:00:00+00:00,0.680184505,0.863821698,0.809849539,0,0.783246085,0.850887058,0.689463264,0.795246675,0.1,0.783246085,0.8814864
2010-01-07 19:00:00+00:00,0.679476296,0.863860032,0.809911217,0,0.78334295,0.844853126,0.674412785,0.782448004,0.1,0.78334295,0.8823247
2010-01-07 20:00:00+00:00,0.678768424,0.863898436,0.809972377,0,0.784032037,0.849056217,0.687957971,0.793924601,0.1,0.784032037,0.8831629
2010-01-07 21:00:00+00:00,0.678060887,0.86393691,0.810033019,0,0.784132263,0.843021504,0.672925314,0.781137704,0.1,0.784132263,0.8840012
2010-01-07 22:00:00+00:00,0.677353687,0.863975454,0.810093143,0,0.78482471,0.851788185,0.686488323,0.792626075,0.1,0.78482471,0.8848395
2010-01-07 23:00:00+00:00,0.676646822,0.864014068,0.810152749,0,0.784928295,0.84575269,0.671473489,0.77985095,0.1,0.784928295,0.8856777
2010-01-08 00:00:00+00:00,0.678103269,0.864203106,0.810425834,0,0.78563087,0.857605174,0.68505432,0.791351095,0.1,0.78563087,0.8866046
2010-01-08 01:00:00+00:00,0.677397076,0.864289196,0.810701433,0,0.786341893,0.869457268,0.698644063,0.802857125,0.1,0.786341893,0.8875314
2010-01-08 02:00:00+00:00,0.67669122,0.86434085,0.81090396,0,0.787061365,0.881308971,0.712242717,0.814369043,0.1,0.787061365,0.8884582
2010-01-08 03:00:00+00:00,0.678148675,0.864542927,0.81118459,0,0.787789284,0.893160283,0.725850282,0.825886847,0.1,0.787789284,0.889385
2010-01-08 04:00:00+00:00,0.679606466,0.864749351,0.811467734,0,0.788525652,0.905011204,0.739466759,0.837410538,0.1,0.788525652,0.8897796
2010-01-08 05:00:00+00:00,0.678901617,0.864814044,0.81154243,0,0.788679927,0.898973365,0.724505393,0.824670733,0.1,0.788679927,0.8901106
2010-01-08 06:00:00+00:00,0.678197105,0.864883084,0.811619641,0,0.789433191,0.903657132,0.738139692,0.836206197,0.1,0.789433191,0.8904416
