Total,Coal,Fuel,Gas,Nuclear,Water,Wind,Other
7545434,618400,0,2797810,2863600,499468,215064,551092
7510666,614200,2197,2819543,2861600,444197,210527,558402
7384048,617400,21437,2746435,2863200,378924,213673,542979
7017382,619400,21371,2739820,2863600,57892,211880,503419
7005908,622200,20647,2706307,2864200,46707,211487,534360
6701845,572600,21452,2433673,2862600,44472,221810,545238
6488187,513800,7435,2285026,2863600,40704,229534,548088
6491545,510400,0,2234554,2861800,110359,223147,551285
6468239,516200,0,2168882,2863600,129746,242868,546943
6460531,522800,0,2129812,2861600,166998,257622,521699
6393845,508800,0,2084651,2863600,155742,250046,531006
6337160,511200,0,2136064,2862000,41641,231546,554709
6367633,512600,0,2167141,2861000,30665,240529,555698
6381588,501000,0,2205601,2862600,26698,258210,527479
6382989,485000,0,2203701,2859800,26201,269521,538766
6409118,479800,0,2221048,2860600,23787,281394,542489
6421498,479000,0,2219580,2862600,21069,286194,553055
6406158,479400,0,2219439,2860000,17115,278454,551750
6372289,477600,0,2189237,2862000,17320,278911,547221
6323541,476800,0,2182897,2861400,17493,234554,550397
6422748,479600,0,2290036,2861400,17859,219560,554293
6473852,481000,0,2322945,2861800,21170,219604,567333
6590952,481200,0,2435903,2860800,28081,219223,565745
6495156,480800,0,2342062,2861800,29013,207301,574180
6432535,485200,0,2294957,2862400,30606,189625,569747
6643993,507600,0,2474837,2860400,96570,162147,542439
6821158,518400,0,2534639,2862200,203271,162666,539982
6949137,534000,0,2674740,2862000,133200,169306,575891
7020431,578000,0,2658473,2864000,154497,181488,583973
7064477,612600,0,2647794,2863400,159811,192930,587942
7146445,616000,0,2707584,2864400,171057,202198,585206
7212807,613800,0,2534111,2863400,420484,219524,561488
7455307,612000,0,2654991,2864400,528369,246313,549234
7627302,611200,0,2646441,2863400,671120,272893,562248
7735987,613600,0,2656945,2866000,730271,293551,575620
7348033,612600,0,2583904,2867000,412495,303507,568527
7114030,609400,0,2505667,2867000,291600,313494,526869
7016682,611400,0,2393981,2865600,282403,328020,535278
6849185,611400,0,2326901,2867400,178072,330395,535017
6847691,600200,0,2309126,2865200,185798,343476,543891
6749814,601400,0,2266424,2866600,102948,347771,564671
6639537,602000,0,2208550,2865200,41444,358762,563581
6490393,585000,0,2078455,2866200,38940,364525,557273
6439479,534000,0,2083919,2865200,37612,352839,565909
6438414,492400,0,2171312,2863800,35726,338155,537021
6479564,525000,0,2210870,2866600,35924,308592,532578
6440148,570800,0,2134691,2867400,34024,291422,541811
6605305,569600,0,2078742,2872600,221716,302038,560609
6565110,568400,0,2056267,2867000,222305,301012,550126
6348166,572400,0,1939632,2867400,131195,302568,534971
6247130,569200,0,1919548,2867200,60466,309031,521685
6234961,564600,0,1858771,2867000,122338,307166,515086
6060452,561600,0,1748492,2868000,83142,284018,515200
6046153,523600,0,1851704,2866600,54376,230797,519076
6050930,499000,0,1877537,2866200,55824,224167,528202
6090416,504400,0,1932418,2865600,56157,214063,517778
6118572,530200,0,1920194,2869600,56463,226597,515518
6036796,531200,0,1812073,2866400,56483,232576,538064
5982705,516200,0,1750821,2865600,56224,227799,566061
5929447,438600,0,1775157,2866600,55213,235975,557902
5889618,417600,0,1751530,2865600,54286,241152,559450
5864320,410400,0,1749819,2865200,54202,230750,553949
5820024,404200,0,1743460,2865000,53903,245460,508001
5753080,315800,0,1749668,2864800,53832,236239,532741
5770218,294600,0,1782270,2863000,50073,213909,566366
5758882,294600,0,1738163,2863800,48417,250418,563484
5812471,302600,0,1789510,2862800,47934,277622,532005
5838634,377600,0,1729740,2864600,45848,292125,528721
5868489,391400,0,1730549,2863600,45737,313637,523566
5895898,378800,0,1746571,2860800,45921,339570,524236
5925090,403400,0,1732662,2863600,45848,351684,527896
6000674,461600,0,1721748,2862600,45366,376202,533158
6025721,473000,0,1716571,2863600,45129,400051,527370
6057413,475200,0,1758586,2862000,45455,409460,506712
6057276,505400,0,1742583,2861600,46767,411403,489523
6103600,552600,0,1746281,2861600,47995,412423,482701
6248108,558600,0,1870509,2863000,48853,421979,485167
6476374,566800,0,1917695,2861000,218027,420668,492184
6679900,584400,0,2072803,2861000,244788,429138,487771
7122306,593000,0,2354973,2864400,398039,432319,479575
7376393,592800,0,2451631,2867000,545861,427606,491495
7462744,599800,0,2459326,2867000,655262,381870,499486
7475229,596800,0,2466304,2868000,720640,320032,503453
7313387,593000,0,2505854,2867600,525057,301530,520346
7360114,599600,0,2583640,2865600,497533,280510,533231
7382922,604200,0,2568286,2867600,534145,281862,526829
7451852,610600,0,2582572,2865800,591327,277841,523712
7301898,608000,0,2643804,2866200,383812,272308,527774
7333690,613200,0,2682211,2865200,390702,267881,514496
7438116,610400,0,2656700,2864800,524562,268642,513012
7513105,611200,0,2710268,2866200,544128,280108,501201
7688045,617000,0,2658346,2861800,668954,373379,508566
7637697,622000,0,2554323,2862800,667928,400625,530021
7609203,619800,0,2586165,2861400,589768,380959,571111
7576767,617400,0,2562248,2862800,600898,348789,584632
7487346,621000,0,2624510,2860000,496077,297013,588746
7548052,621800,0,2626012,2862000,605155,243923,589162
7723676,619400,0,2617170,2864000,886395,211685,525026
7692273,618000,0,2598998,2861200,913434,192462,508179
7301230,623600,0,2622409,2863000,464117,205949,522155
7364624,613800,0,2639840,2860600,478735,251646,520003
7365153,606200,0,2666472,2862000,454735,261589,514157
7268751,616000,0,2571014,2862600,422412,270986,525739
7339375,617000,0,2614720,2861600,439607,271194,535254
7299709,616400,0,2630997,2862000,400331,261661,528320
7322169,616000,0,2645038,2863000,429825,252308,515998
7260357,614800,0,2644713,2863800,335630,277682,523732
7283754,616400,0,2640283,2862000,328253,307746,529072
7149034,612200,0,2664593,2864400,197166,284936,525739
7038752,613000,0,2691999,2864000,62600,285752,521401
7052606,615000,0,2687275,2864400,52996,297253,535682
7067153,613600,0,2683661,2865800,53451,295330,555311
7046460,608200,0,2671822,2864000,54658,309549,538231
6995006,612400,0,2598214,2861800,54575,331314,536703
6935931,609800,0,2524563,2863400,53994,351796,532378
6680812,580200,0,2355497,2862000,52615,320611,509889
6490683,530600,0,2227035,2860000,51328,306107,515613
6549633,520400,0,2311466,2863200,51578,284070,518919
6487870,523200,0,2289246,2863000,50567,242477,519380
6623522,529200,0,2444370,2862000,49426,212132,526394
6803315,532800,0,2609397,2864800,47770,217409,531139
6900937,563200,0,2689228,2864800,45366,208063,530280
7020016,585600,0,2774459,2863200,45177,203821,547759
6977284,587800,0,2742763,2865200,43976,189823,547722
7077602,588800,0,2775037,2864200,133812,171601,544152
7092430,593400,0,2760749,2863600,144826,176594,553261
7087903,586200,0,2753120,2862600,169376,166559,550048
7099591,583600,0,2796657,2852600,147244,173112,546378
7307296,588200,0,2800416,2832600,392786,181176,512118
7363678,584000,0,2810450,2820600,435722,204435,508471
7304150,586200,0,2793392,2816600,425752,168556,513650
7318727,595600,0,2783610,2822000,457000,147744,512773
7267882,607800,0,2797126,2824600,404317,121241,512798
7173795,614000,0,2754748,2826200,364079,107792,506976
6970616,610800,0,2585707,2825200,332323,105728,510858
6783013,607200,0,2579032,2825600,173494,90458,507229
6678645,604000,0,2491965,2827800,186721,62800,505359
6635312,601800,0,2426716,2828200,225707,49589,503300
6463000,599400,0,2441890,2828800,58218,38775,495917
6293229,596200,0,2312269,2827400,29047,36779,491534
6253391,601600,0,2280298,2827400,29782,36238,478073
6380551,599800,0,2397069,2827000,51520,25212,479950
6325794,599800,0,2293172,2826000,101823,19788,485211
6336531,597600,0,2200545,2826400,202536,25870,483580
6120832,597400,0,2139379,2829000,46836,26309,481908
5988381,596600,0,2041160,2826200,32379,21864,470178
5854480,585400,0,1910304,2819400,31842,32209,475325
5751872,500800,0,1905128,2788200,31784,45657,480303
5656203,476600,0,1842898,2755600,31622,54783,494700
5568260,484600,0,1714322,2783000,31301,63279,491758
5583676,475400,0,1711551,2818600,32055,73450,472620
5431961,375400,0,1633613,2828200,33677,75864,485207
5440364,357600,0,1651807,2830400,34385,78300,487872
5365631,358000,0,1576481,2830400,34433,84278,482039
5341704,357400,0,1548156,2831000,35550,86332,483266
5279694,317000,0,1522894,2833000,36082,79785,490933
5323167,314400,0,1580265,2834800,35770,72817,485115
5318109,317000,0,1604582,2834800,36057,65643,460027
5306331,313000,0,1595188,2836400,36125,61325,464293
5334086,313200,0,1603436,2835200,35953,69460,476837
5335113,312600,0,1602308,2838800,35791,69752,475862
5277321,311800,0,1545778,2837400,35731,74934,471678
5258831,312200,0,1518524,2837400,35909,85687,469111
5298670,313000,0,1544978,2838600,35876,86940,479276
5322026,314600,0,1569145,2839200,36026,77684,485371
5299484,311000,0,1554461,2837600,36130,80798,479495
5304260,363600,0,1484158,2837200,36137,73741,509424
5299862,411400,0,1461125,2838000,36082,74656,478599
5374360,423400,0,1499336,2838400,36153,93048,484023
5418206,454600,0,1464313,2841800,35707,131419,490367
5462509,485600,0,1462743,2840800,34500,147404,491462
5490734,492800,0,1453869,2842600,33601,185375,482489
5540383,492200,0,1455578,2846200,32788,228867,484750
5687658,519400,0,1543723,2846200,30046,253985,494304
5790910,533800,0,1597638,2848600,28008,283348,499516
5761999,548400,0,1562894,2849600,25856,278911,496338
5739263,569400,0,1548317,2848600,25710,267034,480202
5781859,573800,0,1629360,2849000,23001,235455,471243
5756696,554600,0,1621265,2845000,22705,231719,481407
5855903,527400,0,1722946,2842600,20638,219816,522503
5962408,566800,0,1800289,2838200,20180,213240,523699
6065961,590000,0,1918290,2837200,20008,189404,511059
6000504,591600,0,1889945,2838200,19524,167766,493469
6142468,539600,0,2039726,2833000,91701,155881,482560
6208009,524600,0,2031937,2831400,202317,154039,463716
6306700,577000,0,1927295,2832000,343046,159320,468039
6267374,602800,0,1859058,2828600,333533,176380,467003
6491713,591400,0,1913977,2829600,531084,158698,466954
