,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP,IT_ICEN_GAS_CHP
2016-03-20 18:00:00,38560.25623643046,11581.576755340879,975.618172681361,786.8316350371277
2016-03-20 19:00:00,37759.95108177423,11341.205023381555,955.3695454993788,770.5012089760095
2016-03-20 20:00:00,34169.7158733775,10262.877525223232,864.5325268852995,697.2415651118752
2016-03-20 21:00:00,26455.165370347066,7945.81152244629,669.3456583469655,539.8242401683457
2016-03-20 22:00:00,19528.42374325114,5865.363993084839,494.09124698030433,398.4823516054146
2016-03-20 23:00:00,20747.08257685191,6231.388293685493,524.9246962465544,423.34938871002316
2016-03-21 00:00:00,22007.033461880965,6609.8146659962,556.8028811990437,449.05900041113205
2016-03-21 01:00:00,22629.674132102307,6796.824852571477,572.5563956257589,461.7641384057291
2016-03-21 02:00:00,25398.414843662496,7628.4163977613725,642.608672692549,518.2609824026464
2016-03-21 03:00:00,31431.400883922375,9440.4243486618,795.2500550610018,641.3655655544846
2016-03-21 04:00:00,42423.23631084038,12741.823200847188,1073.3559454334954,865.6567058413038
2016-03-21 05:00:00,50473.556389958765,15159.737628845352,1277.0381646836183,1029.9254926353228
2016-03-21 06:00:00,49142.43104786253,14759.934001350213,1243.3591853245848,1002.7635484060359
2016-03-21 07:00:00,47382.08569749851,14231.214102132146,1198.8204534375361,966.8432629762846
2016-03-21 08:00:00,44047.752544663956,13229.74681154534,1114.458046773704,898.8053643088828
2016-03-21 09:00:00,41268.6888202467,12395.054748427932,1044.1445857853541,842.0978766628406
2016-03-21 10:00:00,38679.24254251988,11617.314304084322,978.6286610403931,789.2595802559906
2016-03-21 11:00:00,37753.97460064645,11339.409986686678,955.2183337553178,770.3792573896739
2016-03-21 12:00:00,37762.12434763888,11341.857763997874,955.4245315881282,770.5455550074042
2016-03-21 13:00:00,38056.60187229853,11430.304117509044,962.8751466136778,776.5544422613935
2016-03-21 14:00:00,39435.53906341701,11844.468038563196,997.7638199251992,804.6919991813652
2016-03-21 15:00:00,41274.12198490831,12396.686599968729,1044.2820510072277,842.2087417413275
2016-03-21 16:00:00,42989.3720685809,12911.862131398182,1087.6798215527251,877.2088470196373
2016-03-21 17:00:00,44558.47002285599,13383.140856380209,1127.3797776298227,909.2266816866501
2016-03-21 18:00:00,45033.32861428134,13525.76468104582,1139.3942380215758,918.9162895464038
2016-03-21 19:00:00,43417.50544391634,13040.452032812946,1098.5120810363655,885.9450152044041
2016-03-21 20:00:00,39197.02313477201,11772.829755922228,991.7290966849478,799.8250222357909
2016-03-21 21:00:00,29928.587538519023,8989.054212477487,757.2271746907621,610.7002848450119
2016-03-21 22:00:00,23051.831026309977,6923.619717291365,583.2374433653382,470.37835500416014
