year,month,day,hour,min,Vertical load [kW],index
2012,10,5,23,30,9498497,479
2012,10,5,23,45,9281703,480
2012,10,6,0,0,9149281,481
2012,10,6,0,15,8962859,482
2012,10,6,0,30,8730522,483
2012,10,6,0,45,8637621,484
2012,10,6,1,0,8406910,485
2012,10,6,1,15,8270317,486
2012,10,6,1,30,8261649,487
2012,10,6,1,45,7952678,488
2012,10,6,2,0,7934773,489
2012,10,6,2,15,7717055,490
2012,10,6,2,30,7628517,491
2012,10,6,2,45,7618474,492
2012,10,6,3,0,7550707,493
2012,10,6,3,15,7422239,494
2012,10,6,3,30,7416581,495
2012,10,6,3,45,7314835,496
2012,10,6,4,0,7303073,497
2012,10,6,4,15,7317099,498
2012,10,6,4,30,7315670,499
2012,10,6,4,45,7261580,500
2012,10,6,5,0,7229455,501
2012,10,6,5,15,7183279,502
2012,10,6,5,30,7420398,503
2012,10,6,5,45,7389420,504
2012,10,6,6,0,7341177,505
2012,10,6,6,15,7395084,506
2012,10,6,6,30,7483561,507
2012,10,6,6,45,7774687,508
2012,10,6,7,0,7799215,509
2012,10,6,7,15,7859568,510
2012,10,6,7,30,7923277,511
2012,10,6,7,45,8130419,512
2012,10,6,8,0,8087752,513
2012,10,6,8,15,8144029,514
2012,10,6,8,30,8236073,515
2012,10,6,8,45,8520198,516
2012,10,6,9,0,8688050,517
2012,10,6,9,15,8851805,518
2012,10,6,9,30,8916479,519
2012,10,6,9,45,8996181,520
2012,10,6,10,0,8997316,521
2012,10,6,10,15,9262652,522
2012,10,6,10,30,9411964,523
2012,10,6,10,45,9373537,524
2012,10,6,11,0,9395114,525
2012,10,6,11,15,9551410,526
2012,10,6,11,30,9513009,527
2012,10,6,11,45,9464171,528
2012,10,6,12,0,9544868,529
2012,10,6,12,15,9418769,530
2012,10,6,12,30,9483536,531
2012,10,6,12,45,9461186,532
2012,10,6,13,0,9435151,533
2012,10,6,13,15,9423137,534
2012,10,6,13,30,9326804,535
2012,10,6,13,45,9204898,536
2012,10,6,14,0,9255128,537
2012,10,6,14,15,9120053,538
2012,10,6,14,30,9096011,539
2012,10,6,14,45,8939275,540
2012,10,6,15,0,8931728,541
2012,10,6,15,15,8873047,542
2012,10,6,15,30,8790182,543
2012,10,6,15,45,8678979,544
2012,10,6,16,0,8777618,545
2012,10,6,16,15,8867741,546
2012,10,6,16,30,8753906,547
2012,10,6,16,45,8796018,548
2012,10,6,17,0,8998887,549
2012,10,6,17,15,8934501,550
2012,10,6,17,30,9013608,551
2012,10,6,17,45,9291832,552
2012,10,6,18,0,9175215,553
2012,10,6,18,15,9307570,554
2012,10,6,18,30,9324037,555
2012,10,6,18,45,9434454,556
2012,10,6,19,0,9398866,557
2012,10,6,19,15,9527200,558
2012,10,6,19,30,9679291,559
2012,10,6,19,45,9950322,560
2012,10,6,20,0,9809073,561
2012,10,6,20,15,9810123,562
2012,10,6,20,30,9548963,563
2012,10,6,20,45,9448252,564
2012,10,6,21,0,9337634,565
2012,10,6,21,15,9140236,566
2012,10,6,21,30,9050930,567
2012,10,6,21,45,8835856,568
2012,10,6,22,0,8878031,569
2012,10,6,22,15,8871338,570
2012,10,6,22,30,8981933,571
2012,10,6,22,45,9047706,572
2012,10,6,23,0,9074432,573
2012,10,6,23,15,8852559,574
2012,10,6,23,30,8919059,575
2012,10,6,23,45,8849632,576
2012,10,7,0,0,8627404,577
2012,10,7,0,15,8510339,578
2012,10,7,0,30,8369529,579
2012,10,7,0,45,8171656,580
2012,10,7,1,0,7899315,581
2012,10,7,1,15,7910226,582
2012,10,7,1,30,7842459,583
2012,10,7,1,45,7762735,584
2012,10,7,2,0,7605546,585
2012,10,7,2,15,7646091,586
2012,10,7,2,30,7541688,587
2012,10,7,2,45,7500080,588
2012,10,7,3,0,7399788,589
2012,10,7,3,15,7395193,590
2012,10,7,3,30,7399463,591
2012,10,7,3,45,7275299,592
2012,10,7,4,0,7284270,593
2012,10,7,4,15,7310625,594
2012,10,7,4,30,7242704,595
2012,10,7,4,45,7329677,596
2012,10,7,5,0,7265129,597
2012,10,7,5,15,7376027,598
2012,10,7,5,30,7256565,599
2012,10,7,5,45,7316465,600
2012,10,7,6,0,7225082,601
2012,10,7,6,15,7469718,602
2012,10,7,6,30,7524281,603
2012,10,7,6,45,7591266,604
2012,10,7,7,0,7577598,605
2012,10,7,7,15,7442945,606
2012,10,7,7,30,7593936,607
2012,10,7,7,45,7604927,608
2012,10,7,8,0,7622704,609
2012,10,7,8,15,7624905,610
2012,10,7,8,30,7760595,611
2012,10,7,8,45,7803666,612
2012,10,7,9,0,7912165,613
2012,10,7,9,15,7963706,614
2012,10,7,9,30,7948951,615
2012,10,7,9,45,8031989,616
2012,10,7,10,0,7962579,617
2012,10,7,10,15,7971155,618
2012,10,7,10,30,7902678,619
2012,10,7,10,45,7872316,620
2012,10,7,11,0,7869022,621
2012,10,7,11,15,7833745,622
2012,10,7,11,30,7800955,623
2012,10,7,11,45,7700462,624
2012,10,7,12,0,7903151,625
2012,10,7,12,15,7820045,626
2012,10,7,12,30,7831459,627
2012,10,7,12,45,7919173,628
2012,10,7,13,0,7758684,629
2012,10,7,13,15,7766169,630
2012,10,7,13,30,7580828,631
2012,10,7,13,45,7494435,632
2012,10,7,14,0,7477096,633
2012,10,7,14,15,7319428,634
2012,10,7,14,30,7364430,635
2012,10,7,14,45,7296694,636
2012,10,7,15,0,7252431,637
2012,10,7,15,15,7225891,638
2012,10,7,15,30,7156402,639
2012,10,7,15,45,7218132,640
2012,10,7,16,0,7249328,641
2012,10,7,16,15,7365374,642
2012,10,7,16,30,7430444,643
2012,10,7,16,45,7517229,644
2012,10,7,17,0,7637866,645
2012,10,7,17,15,7866220,646
2012,10,7,17,30,7961515,647
2012,10,7,17,45,8144564,648
2012,10,7,18,0,8343744,649
2012,10,7,18,15,8444690,650
2012,10,7,18,30,8683650,651
2012,10,7,18,45,8800354,652
2012,10,7,19,0,8906726,653
2012,10,7,19,15,9082600,654
2012,10,7,19,30,9481014,655
2012,10,7,19,45,9823550,656
2012,10,7,20,0,9760050,657
2012,10,7,20,15,9716327,658
2012,10,7,20,30,9715238,659
2012,10,7,20,45,9408436,660
2012,10,7,21,0,9409332,661
2012,10,7,21,15,9285027,662
2012,10,7,21,30,9158257,663
2012,10,7,21,45,9104688,664
2012,10,7,22,0,8848408,665
2012,10,7,22,15,8756161,666
2012,10,7,22,30,8882996,667
2012,10,7,22,45,8967145,668
2012,10,7,23,0,8996578,669
2012,10,7,23,15,8986575,670
2012,10,7,23,30,8877345,671
2012,10,7,23,45,8595244,672
2012,10,8,0,0,8441559,673
2012,10,8,0,15,8407877,674
2012,10,8,0,30,8239661,675
2012,10,8,0,45,8148412,676
2012,10,8,1,0,7932407,677
2012,10,8,1,15,7918418,678
2012,10,8,1,30,7805605,679
2012,10,8,1,45,7769406,680
2012,10,8,2,0,7493737,681
2012,10,8,2,15,7585142,682
2012,10,8,2,30,7636121,683
2012,10,8,2,45,7535009,684
2012,10,8,3,0,7521200,685
2012,10,8,3,15,7382456,686
2012,10,8,3,30,7428885,687
2012,10,8,3,45,7301671,688
2012,10,8,4,0,7385234,689
2012,10,8,4,15,7464372,690
2012,10,8,4,30,7472485,691
2012,10,8,4,45,7522592,692
2012,10,8,5,0,7620879,693
2012,10,8,5,15,7786818,694
2012,10,8,5,30,7936537,695
2012,10,8,5,45,8115233,696
2012,10,8,6,0,8450156,697
2012,10,8,6,15,8909755,698
2012,10,8,6,30,9023535,699
2012,10,8,6,45,9365916,700
2012,10,8,7,0,9739558,701
2012,10,8,7,15,10029685,702
2012,10,8,7,30,10328875,703
2012,10,8,7,45,10437595,704
2012,10,8,8,0,10398996,705
2012,10,8,8,15,10305789,706
2012,10,8,8,30,10322571,707
2012,10,8,8,45,10357770,708
2012,10,8,9,0,10388876,709
2012,10,8,9,15,10462294,710
2012,10,8,9,30,10584090,711
2012,10,8,9,45,10507385,712
2012,10,8,10,0,10475202,713
2012,10,8,10,15,10483913,714
2012,10,8,10,30,10399268,715
2012,10,8,10,45,10417216,716
2012,10,8,11,0,10330546,717
2012,10,8,11,15,10409122,718
