,LT_P2HT_OTH,LT_STUR_BIO_CHP,LT_COMC_GAS_CHP
2016-02-05 21:00:00,651.6281282500848,495.26267277237315,987.0826060120685
2016-02-05 22:00:00,519.5590159692983,394.885020698775,787.025061114639
2016-02-05 23:00:00,529.1481924385305,402.17316705395376,801.5506914372247
2016-02-06 00:00:00,543.9678288000708,413.4366659665027,823.999392844857
2016-02-06 01:00:00,575.7864598116134,437.6200606905049,872.1980752788911
2016-02-06 02:00:00,651.846064078931,495.4283124622634,987.4127339739451
2016-02-06 03:00:00,857.359550680881,651.626540028935,1298.7234020239052
2016-02-06 04:00:00,1023.4266522616717,777.8439837254394,1550.2809089741381
2016-02-06 05:00:00,976.3525132308962,742.0658107091075,1478.9732692087177
2016-02-06 06:00:00,973.0834757982036,739.5812153607512,1474.021349780564
2016-02-06 07:00:00,938.4316790116607,713.2445046681735,1421.5310038421294
2016-02-06 08:00:00,903.9978180539638,687.0734336654862,1369.3707858655719
2016-02-06 09:00:00,868.6922137808823,660.2398039032371,1315.8900560415063
2016-02-06 10:00:00,850.3856041578031,646.3260699524415,1288.1593072438432
2016-02-06 11:00:00,834.0404169943394,633.9030932106596,1263.3997101030723
2016-02-06 12:00:00,845.5910159231869,642.681996774852,1280.8964920825501
2016-02-06 13:00:00,856.2698715366498,650.7983415794829,1297.0727622145207
2016-02-06 14:00:00,887.8705667193465,674.8160966135946,1344.9413166866777
2016-02-06 15:00:00,901.3825881078094,685.0857573868011,1365.4092503230486
2016-02-06 16:00:00,905.0874971981948,687.9016321149383,1371.0214256749564
2016-02-06 17:00:00,892.0113474674238,677.9632507215126,1351.2137479623395
2016-02-06 18:00:00,857.1416148520345,651.4609003390445,1298.3932740620282
2016-02-06 19:00:00,774.3259998904854,588.5178181806828,1172.9446485487888
2016-02-06 20:00:00,640.5134009789296,486.81504858796137,970.2460799563441
2016-02-06 21:00:00,539.6091122231471,410.1238721686942,817.3968336073181
2016-02-06 22:00:00,435.8716576923644,331.27937978085157,660.2559237538919
2016-02-06 23:00:00,444.3711550173656,337.73932768657824,673.1309142670929
2016-02-07 00:00:00,455.26794645967465,346.02131218109946,689.6373123609401
2016-02-07 01:00:00,484.47134752506304,368.2170306264165,733.8744592524508
2016-02-07 02:00:00,557.9157218462266,424.03760611948996,845.1275824049816
2016-02-07 03:00:00,751.8786095193286,571.456930121969,1138.9414684754636
2016-02-07 04:00:00,892.4472191251161,678.2945301012935,1351.8740038860935
2016-02-07 05:00:00,848.2062458693413,644.6696730535372,1284.8580276250736
2016-02-07 06:00:00,826.412662984723,628.1057040644946,1251.8452314373792
2016-02-07 07:00:00,798.2989410635655,606.7381840686296,1209.258724355253
2016-02-07 08:00:00,768.8776041693309,584.3768259334221,1164.6914495018652
2016-02-07 09:00:00,741.635625563558,563.6718646971188,1123.425454267247
2016-02-07 10:00:00,723.1110801116326,549.5924910564328,1095.3645775077066
2016-02-07 11:00:00,711.5604811827849,540.8135874922401,1077.8677955282285
2016-02-07 12:00:00,719.1882351924014,546.6109766384051,1089.4222741939216
2016-02-07 13:00:00,727.2518608597101,552.7396451643508,1101.6370087833686
2016-02-07 14:00:00,759.7242993577912,577.4199589580243,1150.8260751030336
2016-02-07 15:00:00,778.6847164674092,591.8306119784913,1179.5472077863278
2016-02-07 16:00:00,783.0434330443327,595.1434057762998,1186.1497670238666
2016-02-07 17:00:00,774.5439357193318,588.6834578705733,1173.274776510666
2016-02-07 18:00:00,747.9557646000974,568.4754157039413,1132.9991651616785
2016-02-07 19:00:00,680.3956576577808,517.1271118379093,1030.6594969798252
2016-02-07 20:00:00,552.467326125072,419.89661387222935,836.8743833580579
2016-02-07 21:00:00,456.79349726159796,347.1807900103325,691.9482080940787
2016-02-07 22:00:00,368.0936149212018,279.76543622492915,557.5861276101617
2016-02-07 23:00:00,382.2594437962036,290.5320160678068,579.0444451321632
2016-02-08 00:00:00,387.0540320308196,294.1760892453962,586.307260293456
2016-02-08 01:00:00,423.23137961928586,321.6722777672069,641.1085019650291
2016-02-08 02:00:00,509.31603201352783,387.09995527392505,771.5090469064227
2016-02-08 03:00:00,701.5354330558605,533.1941617572807,1062.6819092818891
2016-02-08 04:00:00,785.4407271616407,596.9654423650944,1189.7811746045131
2016-02-08 05:00:00,744.9046629962509,566.1564600454753,1128.3773736954013
2016-02-08 06:00:00,721.8034651385555,548.5986529170902,1093.383809736445
2016-02-08 07:00:00,693.2538715597057,526.8998535414445,1050.137046730565
2016-02-08 08:00:00,663.832534665471,504.5384954062369,1005.5697718771773
2016-02-08 09:00:00,643.1286309250838,488.8027248666465,974.2076154988675
2016-02-08 10:00:00,626.78344376162,476.37974812486453,949.4480183580965
2016-02-08 11:00:00,623.2964705000811,473.72951308661777,944.1659709680654
2016-02-08 12:00:00,634.1932619423902,482.011497581139,960.6723690619126
2016-02-08 13:00:00,648.7949624750845,493.10935680379754,982.7909425076681
2016-02-08 14:00:00,672.1140961616259,510.8328036220731,1018.1146344285013
2016-02-08 15:00:00,701.7533688847067,533.359801447171,1063.0120372437657
2016-02-08 16:00:00,710.6887378674003,540.1510287326785,1076.5472836807207
2016-02-08 17:00:00,705.8941496327842,536.5069555550891,1069.284468519428
2016-02-08 18:00:00,685.1902458923968,520.7711850154986,1037.922312141118
2016-02-08 19:00:00,623.2964705000811,473.72951308661777,944.1659709680654
2016-02-08 20:00:00,490.13767907506383,372.5236625635676,742.4577862612515
2016-02-08 21:00:00,401.2198609058215,304.9426690882739,607.7655778154575
2016-02-08 22:00:00,381.6056363096651,290.03509699813554,578.0540612465323
2016-02-08 23:00:00,396.8611443288978,301.62987529046535,601.1630185779186
2016-02-09 00:00:00,406.8861924558222,309.2493010254249,616.348904824258
2016-02-09 01:00:00,439.79450261159576,334.26089419887927,666.198227067677
2016-02-09 02:00:00,513.8926844192977,390.57838876162407,778.4417341058387
2016-02-09 03:00:00,713.0860319847083,541.9730653214732,1080.1786912613672
2016-02-09 04:00:00,843.193721805879,640.8599601860574,1277.2650845019039
2016-02-09 05:00:00,809.4136683347207,615.1858082530414,1226.0952504109773
2016-02-09 06:00:00,783.2613688731789,595.3090454661902,1186.4798949857436
2016-02-09 07:00:00,753.404160321252,572.616407951202,1141.252364208602
2016-02-09 08:00:00,722.0214009674017,548.7642926069806,1093.7139376983218
2016-02-09 09:00:00,692.1641924154748,526.0716550919923,1048.4864069211803
2016-02-09 10:00:00,673.4217111347031,511.8266417614156,1020.0954021997629
2016-02-09 11:00:00,671.0244170173951,510.0046051726209,1016.4639946191164
2016-02-09 12:00:00,676.9086843962419,514.4768767996624,1025.377449589794
2016-02-09 13:00:00,689.5489624693205,524.0839788133071,1044.5248713786568
2016-02-09 14:00:00,716.1371335885548,544.2920209799391,1084.8004827276443
2016-02-09 15:00:00,740.7638822481733,563.0093059375572,1122.1049424197392
2016-02-09 16:00:00,746.8660854558665,567.6472172544891,1131.3485253522936
2016-02-09 17:00:00,741.8535613924042,563.8375043870093,1123.755582229124
2016-02-09 18:00:00,713.5219036424006,542.3043447012541,1080.838947185121
2016-02-09 19:00:00,646.3976683577764,491.2873202150029,979.1595349270218
2016-02-09 20:00:00,508.0084170404507,386.1061171345824,769.5282791351608
2016-02-09 21:00:00,410.15522988851495,311.73389637378136,621.3008242524123
2016-02-09 22:00:00,463.54950795582954,352.3156203969356,702.182174912264
2016-02-09 23:00:00,475.9718502000619,361.7570827206899,720.9994687392499
2016-02-10 00:00:00,487.95832078660203,370.86726566466336,739.156506642482
2016-02-10 01:00:00,518.6872726539137,394.22246193921336,785.7045492671314
2016-02-10 02:00:00,588.8626095423843,447.5584420839305,892.0057529915081
2016-02-10 03:00:00,777.1591656654857,590.6711341492583,1177.236312053189
2016-02-10 04:00:00,917.0739677847348,697.0118150589117,1389.1784635781885
2016-02-10 05:00:00,877.4096469347296,666.8653914988541,1329.0951745165844
2016-02-10 06:00:00,872.8329945289597,663.3869580111552,1322.1624873171684
