,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-08-05 00:00:00,297.5159093263102,247.31230431283248,22.21527822742055,23.583975826048256
2016-08-05 01:00:00,371.7641678928058,309.0317194488996,27.759337117216187,29.469607754517234
2016-08-05 02:00:00,570.9795658775582,474.6309952717276,42.63459371589322,45.261338492169926
2016-08-05 03:00:00,1063.5278727060015,884.0654252588773,79.41278719608682,84.30546015849235
2016-08-05 04:00:00,1305.619025637604,1085.3054901039413,97.48954259027964,103.49593609427502
2016-08-05 05:00:00,1236.5995176743822,1027.9325126535125,92.33591038286396,98.02478528752918
2016-08-05 06:00:00,1034.7697443879927,860.1600179878654,77.26544044299696,82.02581398901492
2016-08-05 07:00:00,996.5998649840899,828.4310228827042,74.41532566162314,79.0001018004358
2016-08-05 08:00:00,886.7961023153289,737.1558314842949,66.21636533164367,70.29599824424928
2016-08-05 09:00:00,832.4170960412756,691.9528795536543,62.15592783489194,65.98539457832833
2016-08-05 10:00:00,802.0903425422845,666.7435409769507,59.89145307708809,63.581404072333946
2016-08-05 11:00:00,719.4760830105497,598.069825543862,53.72271149548449,57.0326023491079
2016-08-05 12:00:00,704.8355813213816,585.8998000240741,52.62951678482057,55.87205520828303
2016-08-05 13:00:00,646.7964496250363,537.6543417134864,48.29578061040284,51.271314757155864
2016-08-05 14:00:00,694.3780801148329,577.2069246527969,51.84866342006062,55.043092964836696
2016-08-05 15:00:00,746.6655861475764,620.6713015091823,55.75293024386036,59.18790418206837
2016-08-05 16:00:00,783.2668403704967,651.096365308652,58.48591702052018,62.08927203413055
2016-08-05 17:00:00,846.5347226701164,703.6882613048782,63.21007987731787,67.10449360698088
2016-08-05 18:00:00,873.7242258071428,726.2897372701985,65.24029862569374,69.25979543994134
2016-08-05 19:00:00,796.3387168786826,661.9624595227482,59.46198372647011,63.12547483843846
2016-08-05 20:00:00,602.8749445575319,501.1442651541227,45.01619647841106,47.78967333468126
2016-08-05 21:00:00,385.8817945216466,320.7671012001236,28.813489159642113,30.588706783169783
2016-08-05 22:00:00,277.1237819735402,230.36119733884217,20.692614166138647,21.967499451327896
2016-08-05 23:00:00,301.69890980892967,250.78945446134324,22.527619573324525,23.915560723426783
2016-08-06 00:00:00,296.4701592056553,246.44301677570476,22.137192890944554,23.50107960170362
2016-08-06 01:00:00,370.71841777215104,308.16243191177193,27.681251780740194,29.386711530172605
2016-08-06 02:00:00,565.2279402139567,469.84991381752525,42.205124365275246,44.80540925827445
2016-08-06 03:00:00,1055.1618717407625,877.1111249618556,78.78810450427885,83.64229036373527
2016-08-06 04:00:00,1303.5275253962939,1083.566915029686,97.33337191732764,103.33014364558575
2016-08-06 05:00:00,1234.5080174330726,1026.1939375792574,92.17973970991198,97.85899283883994
2016-08-06 06:00:00,1038.4298698102848,863.2025243678123,77.53873912066294,82.31595077422114
2016-08-06 07:00:00,998.1684901650723,829.7349541883957,74.53245366633713,79.12444613695274
2016-08-06 08:00:00,891.5019778582756,741.0676254013696,66.56774934578566,70.66903125380011
2016-08-06 09:00:00,834.5085962825852,693.6914546279096,62.31209850784392,66.15118702701758
2016-08-06 10:00:00,807.3190931455588,671.0899786625893,60.28187975946806,63.99588519405712
2016-08-06 11:00:00,722.0904583121869,600.2430443866813,53.91792483667448,57.23984290996948
2016-08-06 12:00:00,700.1297057784346,581.9880061069994,52.27813277067858,55.49902219873218
2016-08-06 13:00:00,649.933699987001,540.2622043248693,48.530036619830824,51.52000343018975
2016-08-06 14:00:00,696.99245541647,579.3801434956162,52.043876761250594,55.250333525698274
2016-08-06 15:00:00,744.0512108459393,618.498082666363,55.55771690267037,58.98066362120679
2016-08-06 16:00:00,775.9465895259127,645.0113525487582,57.93931966518822,61.508998463718115
2016-08-06 17:00:00,838.6915967652048,697.1686047764206,62.624439853747916,66.48277192439613
2016-08-06 18:00:00,867.4497250832137,721.0740120474322,64.77178660683776,68.76241809387353
2016-08-06 19:00:00,790.0642161547535,656.7467342999821,58.99347170761415,62.628097492370664
2016-08-06 20:00:00,598.1690690145849,497.232471237048,44.66481246426908,47.4166403251304
2016-08-06 21:00:00,378.0386686167351,314.2474446716658,28.22784913607215,29.966985100585035
2016-08-06 22:00:00,288.1041582404164,239.4887164786831,21.512510199136596,22.837909806946552
2016-08-06 23:00:00,311.11066089482347,258.6130422954926,23.23038760160848,24.661626742528487
2016-08-07 00:00:00,307.45053547253144,255.5705359155456,22.957088923942496,24.371489957322265
2016-08-07 01:00:00,386.4046695819741,321.2017449686875,28.852531827880117,30.630154895342105
2016-08-07 02:00:00,585.0971925063991,486.3663770229516,43.68874575831914,46.38043752082248
2016-08-07 03:00:00,1081.3056247571344,898.8433133900484,80.74023791617873,85.71469597235112
2016-08-07 04:00:00,1330.194153472993,1105.7337472264426,99.32454799746553,105.44399736637392
2016-08-07 05:00:00,1256.9916450271523,1044.8836196275029,93.85857444414586,99.64126166224955
2016-08-07 06:00:00,1066.665123067966,886.6732878702605,79.6470432055148,84.55414883152625
2016-08-07 07:00:00,1023.2664930607892,850.5978550794605,76.406501741761,81.11395552122394
2016-08-07 08:00:00,908.2339797887536,754.9762259954128,67.81711472940157,71.99537084331426
2016-08-07 09:00:00,846.5347226701164,703.6882613048782,63.21007987731787,67.10449360698088
2016-08-07 10:00:00,818.8223444727622,680.652141570994,61.140818460704004,64.90774366184809
2016-08-07 11:00:00,738.8224602426648,614.1516449807245,55.1672902202904,58.566182499483624
2016-08-07 12:00:00,715.2930825279303,594.5926753953511,53.41037014958051,56.701017451729356
2016-08-07 13:00:00,666.6657019174789,554.1708049189127,49.77940200344675,52.8463430197039
2016-08-07 14:00:00,713.724457346948,593.2887440896595,53.293242144866525,56.576673115212415
2016-08-07 15:00:00,758.6917125351074,630.6681081861509,56.650911613334294,60.141210762031655
2016-08-07 16:00:00,796.3387168786826,661.9624595227482,59.46198372647011,63.12547483843846
2016-08-07 17:00:00,862.2209744799393,716.7275743617938,64.38135992445778,68.34793697215038
2016-08-07 18:00:00,887.8418524359836,738.0251190214226,66.29445066811967,70.3788944685939
2016-08-07 19:00:00,812.0249686885054,675.0017725796638,60.633263773610025,64.36891820360796
2016-08-07 20:00:00,615.4239460053902,511.57571559965515,45.953220516123,48.784428026816855
2016-08-07 21:00:00,389.54191994393864,323.8096075800706,29.0867878373081,30.878843568376006
2016-08-07 22:00:00,327.3197877649739,272.0869991209721,24.440710316986404,25.94651821987031
2016-08-07 23:00:00,352.9406657210182,293.38454378060084,26.353801060648276,27.97747571631383
2016-08-08 00:00:00,350.32629041938105,291.2113249377816,26.15858771945829,27.770235155452248
2016-08-08 01:00:00,440.2608007956998,365.9700531307643,32.87392665639385,34.899310449090734
2016-08-08 02:00:00,661.4369513142047,549.8243672332743,49.38897532106677,52.43186189798074
2016-08-08 03:00:00,1182.2205114003293,982.7295607228718,88.27547288611223,93.71418162160823
2016-08-08 04:00:00,1461.9586686755067,1215.2639769045334,109.16330039344086,115.88892163379772
2016-08-08 05:00:00,1390.8476604709754,1156.1524243798494,103.85349751307322,110.25197837836265
2016-08-08 06:00:00,1189.0178871845858,988.379929714202,88.7830275732062,94.25300707984836
2016-08-08 07:00:00,1140.3905065741346,947.9580592377637,85.15205942707243,90.39833264782291
2016-08-08 08:00:00,1009.6717414922757,839.2971170968003,75.39139236757306,80.0363046047437
2016-08-08 09:00:00,935.9463579861076,778.0123457292972,69.88637614601544,74.19212078844704
2016-08-08 10:00:00,904.0509793061341,751.4990758469021,67.5047733834976,71.66378594593573
2016-08-08 11:00:00,821.4367197743994,682.8253604138133,61.336031801893995,65.11498422270967
2016-08-08 12:00:00,795.2929667580278,661.0931719856208,59.38389838999413,63.04257861409384
2016-08-08 13:00:00,744.0512108459393,618.498082666363,55.55771690267037,58.98066362120679
