year,month,day,hour,min,Vertical load [kW],index
2014,1,8,7,45,12502140,704
2014,1,8,8,0,12546000,705
2014,1,8,8,15,12664320,706
2014,1,8,8,30,12649020,707
2014,1,8,8,45,12572520,708
2014,1,8,9,0,12592920,709
2014,1,8,9,15,12540900,710
2014,1,8,9,30,12559260,711
2014,1,8,9,45,12498060,712
2014,1,8,10,0,12497040,713
2014,1,8,10,15,12332820,714
2014,1,8,10,30,12374640,715
2014,1,8,10,45,12359340,716
2014,1,8,11,0,12362400,717
2014,1,8,11,15,12389940,718
2014,1,8,11,30,12397080,719
2014,1,8,11,45,12383820,720
2014,1,8,12,0,12206340,721
2014,1,8,12,15,12155340,722
2014,1,8,12,30,12245100,723
2014,1,8,12,45,12280800,724
2014,1,8,13,0,12303240,725
2014,1,8,13,15,12303240,726
2014,1,8,13,30,12331800,727
2014,1,8,13,45,12308340,728
2014,1,8,14,0,12367500,729
2014,1,8,14,15,12308340,730
2014,1,8,14,30,12293040,731
2014,1,8,14,45,12299160,732
2014,1,8,15,0,12289980,733
2014,1,8,15,15,12351180,734
2014,1,8,15,30,12377700,735
2014,1,8,15,45,12363420,736
2014,1,8,16,0,12171660,737
2014,1,8,16,15,12161460,738
2014,1,8,16,30,12317520,739
2014,1,8,16,45,12426660,740
2014,1,8,17,0,12727560,741
2014,1,8,17,15,13070280,742
2014,1,8,17,30,13313040,743
2014,1,8,17,45,13411980,744
2014,1,8,18,0,13351800,745
2014,1,8,18,15,13327320,746
2014,1,8,18,30,13269180,747
2014,1,8,18,45,13236540,748
2014,1,8,19,0,12988680,749
2014,1,8,19,15,12791820,750
2014,1,8,19,30,12613320,751
2014,1,8,19,45,12542940,752
2014,1,8,20,0,12413400,753
2014,1,8,20,15,12249180,754
2014,1,8,20,30,12064560,755
2014,1,8,20,45,11776920,756
2014,1,8,21,0,11629020,757
2014,1,8,21,15,11607600,758
2014,1,8,21,30,11480100,759
2014,1,8,21,45,11261820,760
2014,1,8,22,0,11455620,761
2014,1,8,22,15,11714700,762
2014,1,8,22,30,11809560,763
2014,1,8,22,45,11591280,764
2014,1,8,23,0,11760600,765
2014,1,8,23,15,11551500,766
2014,1,8,23,30,11249580,767
2014,1,8,23,45,10920120,768
2014,1,9,0,0,10798740,769
2014,1,9,0,15,10626360,770
2014,1,9,0,30,10346880,771
2014,1,9,0,45,10174500,772
2014,1,9,1,0,10027620,773
2014,1,9,1,15,9865440,774
2014,1,9,1,30,9723660,775
2014,1,9,1,45,9554340,776
2014,1,9,2,0,9571680,777
2014,1,9,2,15,9446220,778
2014,1,9,2,30,9363600,779
2014,1,9,2,45,9410520,780
2014,1,9,3,0,9357480,781
2014,1,9,3,15,9343200,782
2014,1,9,3,30,9311580,783
2014,1,9,3,45,9461520,784
2014,1,9,4,0,9483960,785
2014,1,9,4,15,9508440,786
2014,1,9,4,30,9462540,787
2014,1,9,4,45,9505380,788
2014,1,9,5,0,9749160,789
2014,1,9,5,15,9811380,790
2014,1,9,5,30,10001100,791
2014,1,9,5,45,10146960,792
2014,1,9,6,0,10489680,793
2014,1,9,6,15,10810980,794
2014,1,9,6,30,11158800,795
2014,1,9,6,45,11457660,796
2014,1,9,7,0,11712660,797
2014,1,9,7,15,11973780,798
2014,1,9,7,30,12232860,799
2014,1,9,7,45,12269580,800
2014,1,9,8,0,12546000,801
2014,1,9,8,15,12569460,802
2014,1,9,8,30,12535800,803
2014,1,9,8,45,12452160,804
2014,1,9,9,0,12510300,805
2014,1,9,9,15,12552120,806
