Total ,Coal ,Fuel ,Gas ,Nuclear ,Water ,Wind ,Other 
8470085,294000,0,1373428,5315800,154352,644493,688012
8422548,309000,0,1370232,5317800,90081,643200,692235
8412344,321600,0,1410863,5316200,52672,639444,671565
8341147,320400,0,1371984,5314200,52627,637894,644042
8345882,334000,0,1369209,5316400,52642,628972,644659
8322232,339400,0,1346635,5314800,53050,633925,634422
8256427,348200,0,1259913,5314800,52944,637265,643305
8182104,348800,0,1169673,5318800,52873,629423,662535
8153162,351800,0,1138401,5319200,53487,625351,664923
8246854,386200,0,1179966,5317800,53482,626715,682691
8300901,407000,0,1186320,5316800,54982,632312,703487
8348814,407200,0,1236765,5318800,56218,630895,698936
8423851,397800,0,1322078,5315200,56851,629027,702895
8351955,404600,0,1260597,5317200,57232,621107,691219
8304459,431000,0,1179663,5314800,57340,639381,682275
8261339,436400,0,1140710,5316200,57277,634838,675914
8338197,437800,0,1214122,5318200,57621,632490,677964
8319961,436800,0,1224473,5317200,57688,631858,651942
8364297,434800,0,1285023,5319200,56983,611169,657122
8313045,437000,0,1280609,5317200,57075,569230,651931
