,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-12-14 00:00:00,1475.1850603289336,979.9318521617447,469.88535533985305
2016-12-14 01:00:00,1507.1633924687972,1001.1743301976004,480.07129767671825
2016-12-14 02:00:00,1603.590363229001,1065.2285716595654,510.7858314924966
2016-12-14 03:00:00,1770.3696646969045,1176.016264800413,563.9094384493784
2016-12-14 04:00:00,2267.0177615460148,1505.9282890649724,722.1049582811548
2016-12-14 05:00:00,2677.8163359581076,1778.812429987119,852.9551406085776
2016-12-14 06:00:00,2644.6080679667107,1756.752933565269,842.377431258756
2016-12-14 07:00:00,2642.394183433951,1755.282300470479,841.6722506354347
2016-12-14 08:00:00,2566.630134979505,1704.9539678932204,817.539402637323
2016-12-14 09:00:00,2441.9146396340375,1622.1083035533832,777.8142275235485
2016-12-14 10:00:00,2335.8941692318754,1551.6813186806617,744.0439110067108
2016-12-14 11:00:00,2281.7769917644137,1515.7325096969057,726.806162436631
2016-12-14 12:00:00,2243.894967537191,1490.5683434082766,714.7397384375754
2016-12-14 13:00:00,2234.0554807249246,1484.0321963203212,711.6056023339245
2016-12-14 14:00:00,2230.857647510938,1481.9079485167356,710.587008100238
2016-12-14 15:00:00,2299.242080856185,1527.334170778027,732.3692540206114
2016-12-14 16:00:00,2362.460783624992,1569.3289158181417,752.506078486568
2016-12-14 17:00:00,2360.7388734328456,1568.1850900777492,751.957604668429
2016-12-14 18:00:00,2316.9531571182633,1539.0992355363471,738.0106990071829
2016-12-14 19:00:00,2203.553071606901,1463.7701403476588,701.8897804126069
2016-12-14 20:00:00,2031.6080395625586,1349.5509699856343,647.1207520013083
2016-12-14 21:00:00,1725.845986871402,1146.440199227414,549.7274725803584
2016-12-14 22:00:00,1487.238431673959,987.9386323444902,473.7246720668253
2016-12-14 23:00:00,1508.1473411500237,1001.8279449063959,480.3847112870833
2016-12-15 00:00:00,1540.1256732898871,1023.0704229422518,490.5706536239486
2016-12-15 01:00:00,1571.3660439188307,1043.8226899465108,500.52153575304004
2016-12-15 02:00:00,1672.9587452554738,1111.3084086296526,532.8814910232351
2016-12-15 03:00:00,1818.8291372473127,1208.2067892085945,579.3450587598588
2016-12-15 04:00:00,2337.1241050834083,1552.498337066656,744.4356780196671
