,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_ICEN_GAS_CHP
2016-08-20 10:00:00,1725.390577693755,525.4684141966667,64.04146298021875
2016-08-20 11:00:00,1683.0005037397918,512.55849963805,62.468067143387344
2016-08-20 12:00:00,1684.146181414223,512.9074162477423,62.5105913551936
2016-08-20 13:00:00,1774.654717694307,540.4718284134373,65.87000408788766
2016-08-20 14:00:00,1882.9212579280784,573.4444480293635,69.88854210357869
2016-08-20 15:00:00,1978.0125049058884,602.404526633828,73.4180516834978
2016-08-20 16:00:00,2101.1728549072686,639.9130621757547,77.98940445267012
2016-08-20 17:00:00,2082.26917327915,634.1559381158311,77.28775495786692
2016-08-20 18:00:00,1927.6026872309048,587.0521958073649,71.5469863640226
2016-08-20 19:00:00,1422.3588328066378,433.17997093304217,52.79380895746452
2016-08-20 20:00:00,938.3100153593527,285.76270333802785,34.827329469322144
2016-08-20 21:00:00,568.2561265179963,173.0626384074015,21.092009055902057
2016-08-20 22:00:00,601.4807790765083,183.18122008847942,22.32521119828343
2016-08-20 23:00:00,606.6363286114497,184.75134483209493,22.51657015141157
2016-08-21 00:00:00,706.8831251242011,215.2815481801748,26.23743868445881
2016-08-21 01:00:00,1000.7494486158665,304.77865856626045,37.144899012763
2016-08-21 02:00:00,1626.289458855435,495.287127458279,60.36311865897776
2016-08-21 03:00:00,2122.3678918842506,646.3680194550631,78.77610237108581
2016-08-21 04:00:00,2046.1803265345593,623.1650649105222,75.94824228596991
2016-08-21 05:00:00,1827.3558907181534,556.521992459285,67.82611783097536
2016-08-21 06:00:00,1695.6029581585371,516.3965823446657,62.93583347325614
2016-08-21 07:00:00,1545.5191828080183,470.6885064749689,57.36516172663684
2016-08-21 08:00:00,1440.1168367603254,438.5881783832735,53.45293424046146
2016-08-21 09:00:00,1394.2897297830677,424.63151399557984,51.7519657682113
2016-08-21 10:00:00,1307.218226526278,398.1138516589619,48.52012567093599
2016-08-21 11:00:00,1282.013317688786,390.43768624573033,47.584593011198386
2016-08-21 12:00:00,1269.4108632700404,386.59960353911464,47.1168266813296
2016-08-21 13:00:00,1347.8897839685942,410.50039130304,50.029735190058005
2016-08-21 14:00:00,1429.8057376904426,435.4479288960424,53.07021633420518
2016-08-21 15:00:00,1497.9735593191133,456.2084671727368,55.6004069366773
2016-08-21 16:00:00,1591.346289785276,484.6451708626626,59.066130198887016
2016-08-21 17:00:00,1581.608029552609,481.6793796802777,58.704674398533854
2016-08-21 18:00:00,1461.8847125745228,445.217593967428,54.26089426478029
2016-08-21 19:00:00,1079.2283693144204,328.67944633018584,40.057807521491405
2016-08-21 20:00:00,700.5818979148282,213.36250682686696,26.003555519524415
2016-08-21 21:00:00,455.97971442371477,138.868810657552,16.92463629888915
2016-08-21 22:00:00,465.14513581916634,141.66014353509073,17.264829993339184
2016-08-21 23:00:00,494.93275535438386,150.7319753870916,18.37045950030179
2016-08-22 00:00:00,565.9647711691334,172.36480518801682,21.00696063228955
2016-08-22 01:00:00,864.9866441957405,263.43204031771796,32.10577991372188
2016-08-22 02:00:00,1511.7216914122905,460.3954664890449,56.11069747835235
2016-08-22 03:00:00,1884.6397744397254,573.9678229439021,69.95232842128807
2016-08-22 04:00:00,1799.8596265317988,548.1479938266689,66.80553674762528
2016-08-22 05:00:00,1586.1907402503346,483.0750461190471,58.87477124575887
2016-08-22 06:00:00,1503.7019476912706,457.9530502211985,55.81302799570857
2016-08-22 07:00:00,1343.879912108084,409.2791831691168,49.880900448736114
2016-08-22 08:00:00,1294.615772107532,394.2757689523461,48.05235934106719
2016-08-22 09:00:00,1236.7590495487439,376.65548016288284,45.90488664485135
2016-08-22 10:00:00,1117.6085714078738,340.3681527548793,41.48236861700092
2016-08-22 11:00:00,1050.5864274536343,319.95653108787735,38.99470222633506
2016-08-22 12:00:00,1021.9444855928482,311.2336158455688,37.9315969311787
