,PHOT,WTOF,WTON,HE Kraljevac,HE Dale,HE Varazdin,HE Dubrava,HE Cakovec,HE Gojak,HE Lesce,HE Rijeka,HE Miljacka,mHE Hrvatska,HROR
2015-01-05 03:00:00+00:00,0,0,0.633,0.131902745,0.363083735,0.344360171,0.462689271,0.154764,0.214795,0.119983,0.08675,1,0.288709,0.294771
2015-01-05 04:00:00+00:00,0,0,0.626,0.131450549,0.361838993,0.343582769,0.462662819,0.153756,0.214629,0.11989,0.088339,1,0.288356,0.29441
2015-01-05 05:00:00+00:00,0,0,0.636,0.130998353,0.360594251,0.342805367,0.462636367,0.15497,0.214462,0.119797,0.089929,1,0.288343,0.294397
2015-01-05 06:00:00+00:00,0.000345817,0,0.701,0.130546158,0.359349509,0.342027965,0.462609915,0.158934,0.214296,0.119704,0.091518,1,0.288753,0.294815
2015-01-05 07:00:00+00:00,0.010201603,0,0.713,0.130093962,0.358104767,0.341250563,0.462583463,0.163708,0.21413,0.119611,0.093108,1,0.289286,0.29536
2015-01-05 08:00:00+00:00,0.021267748,0,0.725,0.129641766,0.356860025,0.34047316,0.462557012,0.180195,0.213963,0.119518,0.094697,1,0.291617,0.297739
2015-01-05 09:00:00+00:00,0.028529905,0,0.755,0.129189571,0.355615283,0.339695758,0.46253056,0.180532,0.213797,0.119425,0.096287,1,0.29147,0.297589
2015-01-05 10:00:00+00:00,0.034408795,0,0.776,0.128737375,0.354370541,0.338918356,0.462504108,0.181266,0.21363,0.119332,0.097876,1,0.291384,0.297501
2015-01-05 11:00:00+00:00,0.031988076,0,0.794,0.12828518,0.3531258,0.338140954,0.462477656,0.180098,0.213464,0.119239,0.099465,1,0.291006,0.297116
2015-01-05 12:00:00+00:00,0.022478107,0,0.776,0.127832984,0.351881058,0.337363552,0.462451204,0.177234,0.213297,0.119146,0.101055,1,0.290368,0.296464
2015-01-05 13:00:00+00:00,0.014178498,0,0.739,0.127380788,0.350636316,0.336586149,0.462424752,0.175981,0.213131,0.119053,0.102644,1,0.289977,0.296065
2015-01-05 14:00:00+00:00,0.004322713,0,0.706,0.126928593,0.349391574,0.335808747,0.4623983,0.178516,0.212964,0.11896,0.104234,1,0.290167,0.296259
2015-01-05 15:00:00+00:00,0,0,0.637,0.126476397,0.348146832,0.335031345,0.462371848,0.186015,0.212798,0.118867,0.105823,1,0.291118,0.29723
2015-01-05 16:00:00+00:00,0,0,0.505,0.126024202,0.34690209,0.334253943,0.462345397,0.193579,0.212632,0.118774,0.107412,1,0.29208,0.298212
2015-01-05 17:00:00+00:00,0,0,0.318,0.125572006,0.345657348,0.333476541,0.462318945,0.195801,0.212465,0.118681,0.109002,1,0.292222,0.298358
2015-01-05 18:00:00+00:00,0,0,0.151,0.12511981,0.344412606,0.332699139,0.462292493,0.195685,0.212299,0.118588,0.110591,1,0.292006,0.298136
2015-01-05 19:00:00+00:00,0,0,0.059,0.124667615,0.343167864,0.331921736,0.462266041,0.195207,0.212132,0.118495,0.112181,1,0.291734,0.297859
2015-01-05 20:00:00+00:00,0,0,0.04,0.124215419,0.341923123,0.331144334,0.462239589,0.194837,0.211966,0.118402,0.11377,1,0.291478,0.297598
2015-01-05 21:00:00+00:00,0,0,0.036,0.123763224,0.340678381,0.330366932,0.462213137,0.285298,0.211799,0.118309,0.11536,1,0.305158,0.311565
2015-01-05 22:00:00+00:00,0,0,0.028,0.123311028,0.339433639,0.32958953,0.462186685,0.338841,0.211633,0.118216,0.116949,1,0.313174,0.319749
